model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",12702.3094,12.7023,0.08547354,12702.6674,0.1412,0.001,-0.7364,0.0277,0.0011,0.0329,133.5723,68.4119,0.1412,0.5557,-0.7364,154.1765,33415.1819,182.7982,105.345,61.9901
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",13095.7037,13.0957,0.086272,13096.5854,0.1925,0.0007,-0.2755,0.0219,0.0008,0.0282,104.5349,58.3499,0.1925,0.4059,-0.2755,121.4862,24544.4126,156.6666,82.1556,52.333
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",12872.616,12.8726,0.08222365,12873.4101,0.175,0.0007,-0.2154,0.0214,0.0008,0.0275,101.3685,57.5404,0.175,0.3909,-0.2154,118.6555,23387.5129,152.9298,79.5815,51.5541
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",12926.7756,12.9268,0.05560422,12927.5223,0.0879,0.0011,-1.0196,0.0305,0.0013,0.0355,147.5693,72.7422,0.0879,0.7251,-1.0196,169.604,38864.6934,197.1413,116.6149,66.2421
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",12685.6442,12.6856,0.08634758,12686.4524,0.2112,0.0008,-0.4164,0.0245,0.0009,0.0297,117.8319,63.4312,0.2112,0.4729,-0.4164,135.9403,27256.7619,165.0962,92.7412,57.1708
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",13277.8253,13.2778,0.15052652,13278.9628,0.1914,0.0009,-0.6716,0.0272,0.001,0.0323,123.8805,67.4286,0.1914,0.6041,-0.6716,151.2141,32167.276,179.3524,99.0223,61.003
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",12613.1908,12.6132,0.08331227,12613.977,0.1537,0.0005,0.0648,0.0159,0.0006,0.0241,69.559,45.7471,0.1537,0.257,0.0648,88.5907,17996.0536,134.1494,54.6522,40.4314
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",12496.0679,12.4961,0.1106286,12497.2069,0.1763,0.0004,0.1508,0.0136,0.0005,0.023,57.9475,39.3878,0.1763,0.2013,0.1508,75.6358,16340.6389,127.8305,45.165,34.6595
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",12766.6555,12.7667,0.07843089,12767.8229,0.1656,0.0005,0.0499,0.0154,0.0006,0.0243,64.3538,42.9385,0.1656,0.2334,0.0499,85.5531,18283.9032,135.218,51.3224,37.9413
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",12407.4309,12.4074,0.06522679,12408.3999,0.223,0.0005,0.106,0.0155,0.0006,0.0236,67.6082,44.3618,0.223,0.2399,0.106,86.0401,17202.6691,131.1589,53.4016,39.1976
