model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",13576.4838,13.5765,0.09517956,13577.3631,0.2485,0.0006,-0.0414,0.0189,0.0006,0.0255,86.871,52.6342,0.2485,0.3212,-0.0414,104.8401,20039.8229,141.5621,68.5735,46.8759
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",14229.4237,14.2294,0.08668661,14230.1129,0.2061,0.0006,-0.0703,0.0181,0.0007,0.0258,74.8925,48.7325,0.2061,0.2763,-0.0703,100.5743,20596.0244,143.5132,60.5857,43.2753
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",14156.7,14.1567,0.16125393,14157.529,0.2159,0.0006,-0.1918,0.0212,0.0007,0.0273,99.5768,57.3783,0.2159,0.4333,-0.1918,117.7134,22934.0407,151.4399,78.5216,51.4082
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",13981.9594,13.982,0.07662272,13982.7151,0.2342,0.0005,0.0065,0.0175,0.0006,0.0249,77.5406,49.0823,0.2342,0.2813,0.0065,97.4141,19118.1769,138.2685,61.617,43.5593
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",13674.2958,13.6743,0.08600426,13675.3247,0.2182,0.0005,0.0294,0.0163,0.0006,0.0246,69.5486,45.4579,0.2182,0.3,0.0294,90.3064,18678.4248,136.669,55.6531,40.2548
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",13862.5694,13.8626,0.08320689,13863.5212,0.2491,0.0005,-0.0015,0.0181,0.0006,0.025,84.3491,50.9343,0.2491,0.3081,-0.0015,100.6044,19273.2305,138.8281,66.2566,45.3053
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",13924.9818,13.925,0.07545805,13926.079,0.2058,0.0006,-0.0573,0.0184,0.0007,0.0257,80.4085,50.7617,0.2058,0.2996,-0.0573,102.3375,20345.8646,142.6389,64.1832,45.1164
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",14091.0568,14.0911,0.07430983,14091.8691,0.2387,0.0005,0.044,0.0166,0.0006,0.0244,71.3492,46.5647,0.2387,0.2564,0.044,92.0223,18395.7583,135.631,56.9872,41.2079
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",14289.6785,14.2897,0.13261437,14290.7921,0.2682,0.0005,-0.0062,0.0183,0.0006,0.025,80.7411,51.0674,0.2682,0.3139,-0.0062,101.5004,19363.5849,139.1531,64.3347,45.3981
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",7142.5549,7.1426,0.05119228,7143.2344,0.241,0.0005,0.0483,0.0164,0.0006,0.0244,68.5094,45.816,0.241,0.2461,0.0483,91.2301,18314.7842,135.3321,55.1363,40.5137
