model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",153.0552,0.1531,0.49014258,153.6266,0.3618,0.0004,0.2609,0.0133,0.0005,0.0215,58.1422,39.1446,0.3618,0.1904,0.2609,74.0145,14221.9146,119.2557,46.0624,34.3782
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",146.4139,0.1464,0.35909319,146.8395,0.3709,0.0004,0.1523,0.0164,0.0005,0.023,76.2185,47.521,0.3709,0.265,0.1523,90.9219,16311.8604,127.7179,60.033,42.0789
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",153.4781,0.1535,0.31491446,153.8441,0.3341,0.0005,0.0705,0.0177,0.0006,0.0241,82.7718,50.3809,0.3341,0.297,0.0705,98.3289,17887.1479,133.7428,65.1846,44.764
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",148.6814,0.1487,0.39200759,149.1276,0.3595,0.0004,0.2648,0.0131,0.0005,0.0214,56.997,38.5058,0.3595,0.1859,0.2648,72.8379,14148.5116,118.9475,45.1579,33.7976
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",119.7616,0.1198,0.3543272,120.1713,0.3607,0.0004,0.2411,0.014,0.0005,0.0218,62.2495,41.1143,0.3607,0.2062,0.2411,77.5588,14603.3278,120.8442,49.1663,36.1706
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",121.3627,0.1214,0.47952032,121.8793,0.3683,0.0004,0.2542,0.0137,0.0005,0.0216,60.7257,40.3719,0.3683,0.1996,0.2542,76.0329,14351.3542,119.7971,48.0045,35.4882
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",121.1186,0.1211,0.3426702,121.5455,0.3576,0.0004,0.1627,0.0159,0.0005,0.0228,73.3156,46.3068,0.3576,0.2532,0.1627,88.583,16112.0208,126.9331,57.8148,40.9586
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",118.3444,0.1183,0.49884391,118.8884,0.3714,0.0004,0.222,0.0147,0.0005,0.022,66.6527,43.1942,0.3714,0.2235,0.222,81.553,14971.057,122.3563,52.5731,38.0743
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",119.6539,0.1197,0.32589626,120.0209,0.36,0.0004,0.1828,0.0155,0.0005,0.0226,70.9825,45.2448,0.36,0.2429,0.1828,86.1479,15725.3934,125.4009,55.9796,39.9729
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",117.2301,0.1172,0.48194885,117.7555,0.3643,0.0004,0.3103,0.0115,0.0004,0.0207,47.2618,33.3768,0.3643,0.1499,0.3103,63.7797,13271.3022,115.2011,37.7035,29.1665
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,min,0.3341,0.1499,0.0705,63.7797,13271.3022,115.2011,37.7035,29.1665
,,,,,,,,,,,,max,0.3714,0.297,0.3103,98.3289,17887.1479,133.7428,65.1846,44.764
,,,,,,,,,,,,mean,0.36086,0.22136,0.21216,80.97585,15160.38899,123.01966,51.76797,37.48498
,,,,,,,,,,,,std,0.010589848,0.043632282,0.070268378,10.17353524,1352.360637,5.431204442,8.153085034,4.604973168
,,,,,,,,,,,,cv,0.029346141,0.197110054,0.331204645,0.125636659,0.089203558,0.044149077,0.157492848,0.122848489
