model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"RNN-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",161.1095,0.1611,0.36996841,161.5782,0.3224,0.0006,-0.1206,0.021,0.0007,0.0264,100.8021,57.425,0.3224,0.3832,-0.1206,116.8822,21564.2745,146.8478,79.3221,51.4134
"RNN-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",154.6649,0.1547,0.39943814,155.1038,0.3711,0.0004,0.2682,0.0133,0.0005,0.0214,58.5745,39.2506,0.3711,0.1906,0.2682,73.8014,14083.0109,118.6719,46.3159,34.4631
"RNN-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",154.5401,0.1545,0.63556695,155.2189,0.3745,0.0004,0.2519,0.0139,0.0005,0.0216,62.0093,40.9934,0.3745,0.2043,0.2519,77.1256,14395.5125,119.9813,48.9821,36.0541
"RNN-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",149.4727,0.1495,0.77805781,150.2978,0.3401,0.0005,-0.0142,0.0193,0.0006,0.0251,91.1178,53.8658,0.3401,0.3363,-0.0142,107.2797,19515.9455,139.6995,71.8393,48.0372
"RNN-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",122.8815,0.1229,0.45571613,123.4286,0.3638,0.0004,0.2095,0.0147,0.0005,0.0222,65.6533,42.8474,0.3638,0.2205,0.2095,81.6691,15211.7718,123.336,51.9955,37.7677
"RNN-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",124.0629,0.1241,0.39156485,124.5768,0.3428,0.0005,0.0982,0.0172,0.0006,0.0237,80.4331,49.3514,0.3428,0.2857,0.0982,95.7034,17353.2094,131.7316,63.3201,43.7996
"RNN-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",123.0418,0.123,0.61668944,123.7282,0.3162,0.0006,-0.0709,0.0202,0.0007,0.0258,96.5714,55.7606,0.3162,0.3625,-0.0709,112.2168,20607.3253,143.5525,75.9177,49.8373
"RNN-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",121.1695,0.1212,0.63388801,121.8392,0.3634,0.0004,0.1436,0.0163,0.0005,0.0231,74.7623,47.0678,0.3634,0.2598,0.1436,90.6973,16480.451,128.3762,59.1051,41.6661
"RNN-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",121.9028,0.1219,0.40010428,122.3814,0.3721,0.0004,0.2676,0.0133,0.0005,0.0214,58.382,39.2021,0.3721,0.1901,0.2676,73.8644,14093.6413,118.7166,46.2113,34.4216
"RNN-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",103.6237,0.1036,0.54646158,104.2128,0.3523,0.0004,0.1659,0.0157,0.0005,0.0228,71.187,45.3959,0.3523,0.2447,0.1659,87.0862,16050.6255,126.6911,56.2585,40.1222
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,min,0.3162,0.1901,-0.1206,73.8014,14083.0109,118.6719,46.2113,34.4216
,,,,,,,,,,,,max,0.3745,0.3832,0.2682,116.8822,21564.2745,146.8478,79.3221,51.4134
,,,,,,,,,,,,mean,0.35187,0.26777,0.11992,91.63261,16935.57677,129.76045,59.92676,41.75823
,,,,,,,,,,,,std,0.020891894,0.071617953,0.14323121,15.9428991,2756.139355,10.42450785,12.27238915,6.326996021
,,,,,,,,,,,,cv,0.059373899,0.267460706,1.194389678,0.173987177,0.162742574,0.080336557,0.204789799,0.151514947
