model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",13144.9982,13.145,0.11921167,13145.7277,0.2612,0.0005,0.0591,0.0166,0.0006,0.0242,73.2757,47.078,0.2612,0.2633,0.0591,92.1069,18105.7859,134.5577,58.1869,41.6784
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",13249.3797,13.2494,0.10905743,13250.1547,0.2436,0.0005,0.1118,0.0147,0.0006,0.0235,61.8597,41.5085,0.2436,0.216,0.1118,81.6711,17091.666,130.7351,49.4264,36.59
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",13262.0766,13.2621,0.08188891,13263.1694,0.2653,0.0005,0.0038,0.0179,0.0006,0.0249,80.1491,50.3033,0.2653,0.2941,0.0038,99.6051,19169.8544,138.4552,63.6672,44.6685
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",13630.5084,13.6305,0.0909555,13631.4144,0.2686,0.0005,0.0129,0.018,0.0006,0.0248,80.4377,50.3868,0.2686,0.2923,0.0129,99.7377,18996.023,137.8261,63.793,44.7588
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",13456.2188,13.4562,0.089113,13456.9131,0.2554,0.0006,-0.0385,0.0186,0.0006,0.0254,84.0704,51.8467,0.2554,0.31,-0.0385,103.5282,19985.174,141.3689,66.6989,46.1305
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",13283.3436,13.2833,0.0819068,13284.4718,0.2732,0.0005,0.0455,0.0172,0.0006,0.0244,78.6124,49.1429,0.2732,0.3354,0.0455,95.7872,18368.4564,135.5303,62.0906,43.6426
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",13212.8709,13.2129,0.07608557,13213.7622,0.2691,0.0005,0.0219,0.0177,0.0006,0.0247,79.745,50.0545,0.2691,0.3402,0.0219,98.5025,18822.7559,137.196,63.2207,44.4852
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",13495.7166,13.4957,0.09077692,13496.6455,0.2582,0.0006,-0.0749,0.0195,0.0007,0.0259,91.6776,54.1533,0.2582,0.3427,-0.0749,108.5932,20685.3078,143.8239,72.1724,48.3166
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",8838.8959,8.8389,0.05949569,8839.5188,0.2524,0.0005,0.0239,0.0173,0.0006,0.0247,75.3039,48.5451,0.2524,0.3242,0.0239,96.0493,18783.3075,137.0522,60.0977,43.0861
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",4974.7079,4.9747,0.03612781,4974.9914,0.2575,0.0006,-0.0635,0.0195,0.0007,0.0257,92.0681,54.1707,0.2575,0.3443,-0.0635,108.37,20464.9332,143.0557,72.3154,48.3375
