Data,Model,,,EV,,,,,MSLE,,,,,RMSE,,
,,min,max,mean,std,cv,min,max,mean,std,cv,min,max,mean,std,cv
,SBO-CNN,0.2477,0.6565,0.50571,0.143274751,0.283314056,0.1088,0.1782,0.14021,0.025420222,0.18130106,8.6346,12.8073,10.28463,1.495869457,0.145447085
,SSDO-CNN,0.0219,0.5896,0.35647,0.17302626,0.485388,0.0988,0.22,0.16551,0.034324091,0.207383789,9.1559,15.1757,11.83264,1.813987797,0.153303726
,LCBO-CNN,0.1288,0.5409,0.37801,0.155174872,0.410504675,0.1279,0.2063,0.16546,0.029321141,0.177209848,9.9353,14.1142,11.73749,1.602435988,0.136522884
,AEO-CNN,0.4852,0.639,0.58397,0.041977482,0.071882943,0.1131,0.1508,0.12746,0.010580611,0.083011229,8.8142,10.5993,9.47646,0.495263113,0.05226246
,,,,,,,,,,,,,,,,
travel-time,1. MLNN,0.3091,0.4226,0.38939,0.033249543,0.085388795,0.1151,0.2255,0.15617,0.036389164,0.233009948,109.1527,123.3378,113.78075,3.887194302,0.034163901
,2. RNN,0.3162,0.3745,0.35187,0.020891894,0.059373899,0.1901,0.3832,0.26777,0.071617953,0.267460706,118.6719,146.8478,129.76045,10.42450785,0.080336557
,3. LSTM,0.3341,0.3714,0.36086,0.010589848,0.029346141,0.1499,0.297,0.22136,0.043632282,0.197110054,115.2011,133.7428,123.01966,5.431204442,0.044149077
,4. GRU,0.359,0.4129,0.39544,0.016664213,0.04214094,0.154,0.3283,0.19011,0.052952105,0.278534034,113.5459,137.2516,118.07936,7.162226711,0.060656043
,5. CNN,0.2219,0.2599,0.24795,0.010930208,0.044082306,0.2237,0.2923,0.26227,0.022294247,0.085004945,128.7227,139.0924,134.87717,3.206464536,0.023773219
,GA-CNN,0.2656,0.2755,0.27197,0.003422491,0.012584075,0.2306,0.3569,0.2918,0.031184006,0.106867738,130.2854,142.7556,137.52352,3.178577672,0.023112975
,WOA-CNN ,0.1076,0.2663,0.21631,0.049726708,0.229886309,0.2225,0.3242,0.28214,0.034449196,0.122099653,135.7847,143.4996,139.14179,2.572864967,0.018490958
,MVO-CNN,0.2425,0.2825,0.26495,0.013022822,0.049151998,0.2392,0.3486,0.30026,0.036489639,0.121526808,132.6182,144.3437,137.70216,3.571976714,0.025939874
,EO-CNN,0.2664,0.2774,0.27302,0.004426135,0.016211759,0.2481,0.2833,0.27087,0.011892206,0.043903739,133.3813,137.5483,135.89245,1.477464694,0.010872309
,SBO-CNN,0.2484,0.2879,0.26578,0.012303911,0.046293592,0.2567,0.3542,0.3013,0.030895199,0.102539659,133.6206,145.6315,138.19636,3.899898169,0.028219977
,SSDO-CNN,-0.2277,0.2688,0.08924,0.151425796,1.696837691,0.2843,0.8664,0.53271,0.204440078,0.383773682,137.2312,230.4753,174.38583,33.31896626,0.191064642
,LCBO-CNN,-0.0433,0.2453,0.12304,0.091805751,0.746145574,0.2228,0.7878,0.45284,0.229051674,0.505811487,126.5296,223.9825,166.80786,35.93930891,0.21545333
,AEO-CNN,0.2215,0.2751,0.25887,0.015840458,0.061190783,0.2466,0.343,0.28939,0.027197731,0.093982967,133.2599,141.5228,137.59258,2.1515414,0.015637045
