model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",21748.2936,21.7483,0.18840218,21749.524,0.0072,0.0014,-1.607,0.036,0.0016,0.0403,177.4834,79.8553,0.0072,0.7878,-1.607,199.9876,50168.1677,223.9825,139.6122,73.2237
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",22136.8512,22.1369,0.17696619,22138.0402,0.2146,0.0005,0.0175,0.0169,0.0006,0.0247,75.3813,47.3984,0.2146,0.2729,0.0175,93.8901,18906.7495,137.5018,59.6818,42.0293
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",21963.9174,21.9639,0.14203358,21965.6985,0.1101,0.0007,-0.3746,0.0231,0.0009,0.0293,103.9833,60.2736,0.1101,0.4572,-0.3746,128.3643,26452.8336,162.6433,82.839,54.1177
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",22179.6988,22.1797,0.13815284,22180.9225,0.1623,0.0005,0.0188,0.0155,0.0006,0.0247,67.7577,43.4297,0.1623,0.2407,0.0188,86.0432,18880.7131,137.4071,53.7137,38.3791
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",21876.5562,21.8766,0.14590645,21877.7407,0.0794,0.0011,-0.9598,0.0301,0.0012,0.035,148.7021,72.0787,0.0794,0.6341,-0.9598,167.2825,37713.7923,194.2004,116.6795,65.5969
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",21844.0717,21.8441,0.18555474,21846.058,0.1092,0.0013,-1.32,0.0335,0.0014,0.038,162.435,76.7448,0.1092,0.7572,-1.32,185.9907,44645.4906,211.2948,128.4424,70.1348
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",21987.3404,21.9873,0.10555792,21989.2385,0.2094,0.0004,0.168,0.0125,0.0005,0.0228,48.1554,35.1228,0.2094,0.2228,0.168,69.4653,16009.7343,126.5296,38.9097,30.8451
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",20428.7515,20.4288,0.14978552,20430.5821,0.1362,0.0006,-0.1286,0.0182,0.0007,0.0265,75.8084,48.8134,0.1362,0.2812,-0.1286,101.213,21718.9059,147.3734,61.1395,43.3655
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",22388.367,22.3884,0.08234859,22390.3612,-0.0433,0.0011,-0.958,0.0299,0.0012,0.0349,147.7401,71.684,-0.0433,0.6299,-0.958,165.9612,37677.8452,194.1078,115.481,65.2227
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",21539.0102,21.539,0.10738277,21541.8518,0.2453,0.0005,0.0803,0.0157,0.0006,0.0239,69.0065,44.6522,0.2453,0.2446,0.0803,87.2746,17699.0793,133.0379,54.7407,39.4673
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,min,-0.0433,0.2228,-1.607,69.4653,16009.7343,126.5296,38.9097,30.8451
,,,,,,,,,,,,max,0.2453,0.7878,0.168,199.9876,50168.1677,223.9825,139.6122,73.2237
,,,,,,,,,,,,mean,0.12304,0.45284,-0.50634,128.54725,28987.33115,166.80786,85.12395,52.23821
,,,,,,,,,,,,std,0.091805751,0.229051674,0.649120943,47.43734144,12491.50885,35.93930891,36.56963091,15.30085633
,,,,,,,,,,,,cv,0.746145574,0.505811487,-1.281986299,0.369026498,0.430929939,0.21545333,0.429604487,0.292905449
