model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"AEO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",41796.4636,41.7965,0.17903876,41797.1677,0.2751,0.0005,0.0167,0.0178,0.0006,0.0248,79.2583,49.9433,0.2751,0.289,0.0167,98.7407,18922.0157,137.5573,62.9995,44.3357
"AEO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",41436.4621,41.4365,0.13555002,41437.335,0.2659,0.0005,0.0057,0.018,0.0006,0.0249,80.0753,50.5693,0.2659,0.343,0.0057,100.0431,19133.3352,138.3233,63.6991,44.9597
"AEO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",40125.6339,40.1256,0.22989464,40127.5825,0.2486,0.0005,0.0042,0.0177,0.0006,0.0249,80.2343,49.9383,0.2486,0.2953,0.0042,98.5185,19161.9672,138.4268,63.5265,44.3353
"AEO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",40746.8234,40.7468,0.14910412,40748.3718,0.2572,0.0005,0.0772,0.0161,0.0006,0.024,69.1506,45.6418,0.2572,0.2466,0.0772,89.5062,17758.2038,133.2599,55.2313,40.3412
"AEO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",40122.8839,40.1229,0.12196755,40124.9904,0.2731,0.0005,0.0047,0.0181,0.0006,0.0249,81.0297,50.7413,0.2731,0.2958,0.0047,100.6831,19152.9031,138.394,64.3565,45.0914
"AEO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",12307.1616,12.3072,0.04727507,12307.8034,0.2604,0.0006,-0.0408,0.0188,0.0006,0.0255,84.3241,52.2932,0.2604,0.3135,-0.0408,104.6877,20028.702,141.5228,67.0576,46.5306
"AEO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",12462.0235,12.462,0.04736066,12462.6365,0.2526,0.0005,0.0052,0.0178,0.0006,0.0249,78.3817,49.931,0.2526,0.2923,0.0052,98.9714,19142.5282,138.3565,62.4307,44.2984
"AEO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",9709.3477,9.7093,0.03173184,9710.0336,0.2726,0.0005,0.0372,0.0173,0.0006,0.0245,77.7669,48.9038,0.2726,0.2807,0.0372,96.227,18526.7401,136.113,61.6272,43.3849
"AEO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",12785.1256,12.7851,0.04873586,12785.8109,0.2215,0.0005,0.0393,0.0161,0.0006,0.0245,71.179,45.228,0.2215,0.2553,0.0393,89.246,18488.07,135.9708,56.4365,40.0242
"AEO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",12656.4271,12.6564,0.04385567,12657.1532,0.2617,0.0005,0.0103,0.0175,0.0006,0.0248,77.8604,48.9712,0.2617,0.2824,0.0103,96.9737,19044.3862,138.0014,61.8796,43.4511
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,min,0.2215,0.2466,-0.0408,89.246,17758.2038,133.2599,55.2313,40.0242
,,,,,,,,,,,,max,0.2751,0.343,0.0772,104.6877,20028.702,141.5228,67.0576,46.5306
,,,,,,,,,,,,mean,0.25887,0.28939,0.01597,97.35974,18935.88515,137.59258,61.92445,43.67525
,,,,,,,,,,,,std,0.015840458,0.027197731,0.030707656,4.792753299,590.7605932,2.1515414,3.565237809,2.045295258
,,,,,,,,,,,,cv,0.061190783,0.093982967,1.922833787,0.049227261,0.031197939,0.015637045,0.057573992,0.046829618
