model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"EO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",21969.7511,21.9698,0.18388152,21970.6956,0.2704,0.0005,0.0545,0.0169,0.0006,0.0243,73.6005,47.5703,0.2704,0.2643,0.0545,93.7656,18194.7848,134.888,58.6692,42.143
"EO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",22236.1951,22.2362,0.21458435,22237.3086,0.2738,0.0005,0.0509,0.017,0.0006,0.0243,74.3377,47.8615,0.2738,0.267,0.0509,94.3149,18264.7164,135.147,59.2317,42.4102
"EO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",21695.4585,21.6955,0.12546659,21697.0203,0.2773,0.0005,0.0179,0.0178,0.0006,0.0247,77.9006,49.6641,0.2773,0.2828,0.0179,98.6829,18898.1994,137.4707,62.1308,44.0833
"EO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",20902.2028,20.9022,0.16871691,20903.5775,0.2774,0.0005,0.0176,0.0178,0.0006,0.0247,77.9045,49.6662,0.2774,0.2829,0.0176,98.6981,18903.793,137.4911,62.1368,44.0853
"EO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",21791.0225,21.791,0.10980821,21792.5331,0.2736,0.0005,0.0532,0.0169,0.0006,0.0243,74.0586,47.7438,0.2736,0.2658,0.0532,94.0432,18220.1959,134.9822,59.0136,42.3007
"EO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",21874.7935,21.8748,0.21895838,21876.7359,0.2699,0.0005,0.0434,0.0171,0.0006,0.0244,74.7364,48.1141,0.2699,0.2693,0.0434,95.0942,18408.8574,135.6792,59.5847,42.6487
"EO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",22058.1434,22.0581,0.14659142,22062.2314,0.2664,0.0005,0.0536,0.0168,0.0006,0.0243,72.9762,47.3261,0.2664,0.2621,0.0536,93.4274,18211.9329,134.9516,58.2237,41.92
"EO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",22552.9103,22.5529,0.20357251,22555.9674,0.2774,0.0005,0.0168,0.0178,0.0006,0.0248,77.9999,49.7067,0.2774,0.2833,0.0168,98.7941,18919.5253,137.5483,62.2116,44.1231
"EO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",20903.9499,20.9039,0.10900998,20907.0829,0.2667,0.0005,0.0755,0.0162,0.0006,0.024,69.7941,45.7921,0.2667,0.2481,0.0755,90.0956,17790.5701,133.3813,55.7419,40.501
"EO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",21561.5116,21.5615,0.09841299,21565.1849,0.2773,0.0005,0.0192,0.0178,0.0006,0.0247,77.9885,49.6861,0.2773,0.2831,0.0192,98.6618,18874.6768,137.3851,62.1748,44.1035
