model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",20501.9985,20.502,0.15049529,20502.8094,0.2484,0.0005,-0.0127,0.0183,0.0006,0.0251,85.4906,51.4927,0.2484,0.3139,-0.0127,101.7775,19488.5783,139.6015,67.1647,45.8224
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",23356.2595,23.3563,0.14117956,23357.4185,0.2585,0.0006,-0.0538,0.0192,0.0007,0.0256,89.6206,53.6447,0.2585,0.3366,-0.0538,106.9145,20278.4374,142.4024,70.6117,47.8055
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",19960.5705,19.9606,0.13754821,19962.3041,0.2737,0.0006,-0.1021,0.0202,0.0007,0.0262,93.8897,55.4062,0.2737,0.3542,-0.1021,112.0911,21208.534,145.6315,74.1398,49.492
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",23144.4927,23.1445,0.12584496,23145.8881,0.2879,0.0005,0.0655,0.0171,0.0006,0.0241,78.6872,48.6655,0.2879,0.2821,0.0655,94.8281,17983.2827,134.1018,61.9098,43.1768
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",19846.5276,19.8465,0.15416861,19848.0953,0.2789,0.0005,-0.003,0.0183,0.0006,0.025,83.3159,51.2423,0.2789,0.3057,-0.003,101.5081,19300.9123,138.9277,65.9165,45.5651
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",23123.1009,23.1231,0.1202538,23124.7282,0.2493,0.0005,0.0687,0.0164,0.0006,0.0241,74.1118,46.8055,0.2493,0.2641,0.0687,91.275,17922.1705,133.8737,58.4823,41.4556
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",20019.5676,20.0196,0.13859248,20022.0334,0.2633,0.0005,0.0722,0.0164,0.0006,0.024,71.6721,46.4233,0.2633,0.2567,0.0722,90.8616,17854.4601,133.6206,57.0048,41.0775
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",20074.1278,20.0741,0.14728308,20076.2036,0.2664,0.0005,0.0362,0.0173,0.0006,0.0245,78.046,48.9957,0.2664,0.2819,0.0362,96.3648,18547.7074,136.19,61.8141,43.4762
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",23083.2237,23.0832,0.10069394,23085.1683,0.2641,0.0005,0.0038,0.0181,0.0006,0.0249,82.2464,50.8778,0.2641,0.3007,0.0038,100.6913,19171.1095,138.4598,65.0711,45.2237
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",18337.1881,18.3372,0.06999063,18340.0764,0.2673,0.0005,-0.0063,0.0185,0.0006,0.025,86.1399,52.1687,0.2673,0.3171,-0.0063,103.0339,19363.9916,139.1546,67.8024,46.4384
