model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",21685.1086,21.6851,0.1641593,21686.2182,-0.0004,0.0012,-1.136,0.0317,0.0013,0.0365,156.8914,74.3596,-0.0004,0.6783,-1.136,176.2873,41103.2334,202.7393,122.9977,67.8285
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",22057.9469,22.0579,0.14746833,22059.0173,0.1646,0.0005,0.0214,0.017,0.0006,0.0247,78.8252,48.3838,0.1646,0.2843,0.0214,94.2913,18832.4063,137.2312,61.4469,42.9349
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",21575.6647,21.5757,0.16702628,21577.5496,0.1294,0.001,-0.8988,0.0298,0.0012,0.0344,145.7805,71.7124,0.1294,0.6187,-0.8988,165.3619,36539.4087,191.1528,114.6178,65.212
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",20491.2927,20.4913,0.15715814,20492.4053,0.2256,0.0008,-0.384,0.0239,0.0009,0.0294,113.1741,62.4789,0.2256,0.5016,-0.384,132.6097,26632.2573,163.1939,89.4939,56.2574
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",21473.6032,21.4736,0.22395301,21475.3892,0.0903,0.0006,-0.1048,0.0181,0.0007,0.0262,76.7003,49.1932,0.0903,0.3355,-0.1048,100.5318,21260.4702,145.8097,61.3578,43.7648
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",21376.221,21.3762,0.13608217,21377.9369,-0.2277,0.0013,-1.4399,0.0338,0.0015,0.039,160.0761,77.424,-0.2277,0.8664,-1.4399,188.0396,46951.294,216.6825,126.9703,70.8201
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",21801.9182,21.8019,0.15110302,21803.6658,0.0619,0.0015,-1.7604,0.0374,0.0017,0.0415,183.5414,81.6333,0.0619,0.8205,-1.7604,207.9422,53118.8457,230.4753,144.721,74.963
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",22055.892,22.0559,0.13353872,22059.2854,-0.0497,0.0007,-0.3594,0.0208,0.0008,0.0291,100.2479,55.7786,-0.0497,0.3861,-0.3594,115.6205,26158.8593,161.737,78.1167,49.9381
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",20423.9528,20.424,0.12742162,20427.5011,0.2688,0.0006,-0.0666,0.0194,0.0007,0.0258,86.6905,53.5711,0.2688,0.3734,-0.0666,107.7592,20525.1209,143.2659,69.049,47.7656
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",22408.7049,22.4087,0.10903859,22411.7956,0.2296,0.0006,-0.1938,0.0211,0.0007,0.0273,94.778,56.935,0.2296,0.4623,-0.1938,117.4321,22973.6828,151.5707,75.6043,50.9855
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,min,-0.2277,0.2843,-1.7604,94.2913,18832.4063,137.2312,61.3578,42.9349
,,,,,,,,,,,,max,0.2688,0.8664,0.0214,207.9422,53118.8457,230.4753,144.721,74.963
,,,,,,,,,,,,mean,0.08924,0.53271,-0.63223,140.58756,31409.55786,174.38583,94.43754,57.04699
,,,,,,,,,,,,std,0.151425796,0.204440078,0.63276898,40.44923769,12176.19522,33.31896626,30.33601136,11.75303084
,,,,,,,,,,,,cv,1.696837691,0.383773682,-1.000852507,0.287715625,0.387658918,0.191064642,0.32122831,0.206023681
