model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",23132.5111,23.1325,0.17733788,23134.1871,0.1076,0.0005,0.0292,0.0146,0.0006,0.0246,62.604,40.8852,0.1076,0.2225,0.0292,81.1328,18681.7592,136.6812,49.3629,36.0734
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",23180.4129,23.1804,0.14533663,23181.187,0.2177,0.0006,-0.0527,0.0185,0.0007,0.0256,81.8764,51.1164,0.2177,0.3025,-0.0527,102.9638,20258.389,142.332,65.1317,45.4678
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",22461.9897,22.462,0.1389327,22464.0308,0.1666,0.0005,0.0419,0.015,0.0006,0.0244,59.3417,40.9677,0.1666,0.2247,0.0419,83.1164,18437.4908,135.7847,48.0827,36.1361
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",22172.456,22.1725,0.18735814,22173.5327,0.2637,0.0005,-0.0227,0.0186,0.0006,0.0252,84.4703,51.9078,0.2637,0.3121,-0.0227,103.2721,19680.748,140.2881,66.9128,46.1831
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",21844.7101,21.8447,0.15205431,21845.5426,0.2095,0.0005,-0.0342,0.018,0.0006,0.0254,80.1911,50.194,0.2095,0.2936,-0.0342,100.2227,19901.5842,141.073,63.6404,44.5985
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",22495.9831,22.496,0.13311529,22497.2646,0.2607,0.0005,0.0131,0.0178,0.0006,0.0248,79.07,49.7666,0.2607,0.288,0.0131,98.7578,18991.6004,137.81,62.8065,44.1957
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",22464.6869,22.4647,0.1486218,22466.6959,0.2018,0.0005,0.0178,0.0166,0.0006,0.0247,75.1568,46.9104,0.2018,0.2708,0.0178,92.4699,18901.2799,137.4819,59.285,41.5784
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",23002.7797,23.0028,0.14890528,23004.8081,0.2663,0.0005,-0.0069,0.0183,0.0006,0.0251,82.7423,51.0951,0.2663,0.3032,-0.0069,101.6324,19376.2677,139.1987,65.5054,45.4389
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",21746.1788,21.7462,0.12765527,21748.4021,0.2473,0.0005,0.0208,0.0171,0.0006,0.0247,77.3556,48.331,0.2473,0.2798,0.0208,95.2132,18842.7022,137.2687,61.2161,42.8709
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",8250.5633,8.2506,0.05318427,8251.537,0.2219,0.0006,-0.0701,0.0191,0.0007,0.0258,87.1191,52.7563,0.2219,0.3242,-0.0701,106.1361,20592.1247,143.4996,68.8779,47.009
