model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",11932.6367,11.9326,0.07335567,11933.4071,0.4114,0.01,0.3499,0.0756,0.0193,0.1389,inf,17.1819,0.4114,0.1572,0.3499,6.1981,129.7264,11.3897,48.5545,13.7495
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",11926.7505,11.9268,0.08679008,11927.6346,0.2911,0.0117,0.225,0.0785,0.023,0.1517,inf,17.49,0.2911,0.1739,0.225,6.4403,154.6442,12.4356,50.7038,14.1545
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",11977.3512,11.9774,0.03254104,11978.0618,0.5266,0.0082,0.4818,0.0729,0.0154,0.124,inf,17.3892,0.5266,0.1437,0.4818,5.9771,103.4106,10.1691,43.9252,13.7962
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",12047.2169,12.0472,0.05383396,12047.8646,0.4351,0.0096,0.3802,0.075,0.0184,0.1356,inf,17.2733,0.4351,0.157,0.3802,6.1479,123.6853,11.1214,48.4821,13.8203
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",11978.528,11.9785,0.03447509,11979.4274,0.5599,0.0075,0.5215,0.07,0.0142,0.1192,inf,16.9984,0.5599,0.135,0.5215,5.7378,95.4808,9.7714,43.2987,13.3192
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",11893.2709,11.8933,0.07202625,11893.7536,0.4055,0.0104,0.3371,0.0774,0.0197,0.1403,inf,17.701,0.4055,0.1638,0.3371,6.349,132.2798,11.5013,48.6261,14.2454
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",11794.06,11.7941,0.04708505,11794.9761,0.57,0.0075,0.5307,0.0703,0.0139,0.118,inf,17.1622,0.57,0.1351,0.5307,5.7656,93.6359,9.6766,41.1828,13.4912
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",7803.1313,7.8031,0.05043316,7803.4805,0.5292,0.0081,0.4875,0.071,0.0152,0.1233,inf,17.0652,0.5292,0.141,0.4875,5.8214,102.2697,10.1128,42.9667,13.476
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",1856.012,1.856,0.01018214,1856.0923,0.347,0.011,0.2837,0.0773,0.0213,0.1458,inf,17.458,0.347,0.1684,0.2837,6.3386,142.9398,11.9557,50.4478,14.0711
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",1884.9981,1.885,0.01003909,1885.0661,0.6458,0.0057,0.622,0.0648,0.0112,0.1059,inf,16.8393,0.6458,0.106,0.622,5.3153,75.431,8.6851,35.2283,12.4702
