model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"GRU-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",118.3478,0.1183,0.64118099,119.011,0.1668,0.0151,0.0138,0.091,0.0293,0.1711,inf,19.1773,0.1668,0.2057,0.0138,7.4614,196.7961,14.0284,56.3597,15.8939
"GRU-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",114.8056,0.1148,0.60539293,115.4574,0.2119,0.0143,0.0752,0.0885,0.0274,0.1657,inf,18.9387,0.2119,0.199,0.0752,7.2531,184.5398,13.5845,54.3363,15.6389
"GRU-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",115.9021,0.1159,0.58526063,116.51,0.4878,0.0092,0.4267,0.0744,0.017,0.1304,inf,17.6203,0.4878,0.1535,0.4267,6.0978,114.396,10.6956,43.5841,14.1011
"GRU-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",108.009,0.108,0.36389422,108.4133,0.4087,0.0106,0.3317,0.0783,0.0198,0.1408,inf,17.9962,0.4087,0.1678,0.3317,6.4166,133.3636,11.5483,46.7351,14.5637
"GRU-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",92.7129,0.0927,0.35438967,93.0938,0.2097,0.0143,0.0719,0.0886,0.0275,0.166,inf,18.9561,0.2097,0.1995,0.0719,7.2675,185.1945,13.6086,54.5402,15.657
"GRU-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",92.3932,0.0924,0.56250048,92.9807,0.1432,0.0154,-0.0139,0.0919,0.0301,0.1735,inf,19.2583,0.1432,0.2082,-0.0139,7.5391,202.3218,14.224,56.6904,15.9861
"GRU-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",93.5953,0.0936,0.53732824,94.162,0.2575,0.0136,0.1256,0.0866,0.0259,0.1611,inf,18.7697,0.2575,0.1938,0.1256,7.0992,174.4813,13.2091,53.5339,15.4472
"GRU-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",90.578,0.0906,0.35046959,90.9596,0.536,0.0082,0.4868,0.0716,0.0152,0.1234,inf,17.3197,0.536,0.1426,0.4868,5.8685,102.4089,10.1197,41.1785,13.7264
"GRU-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",67.4321,0.0674,0.52076221,67.982,0.4974,0.0091,0.4313,0.0743,0.0169,0.1299,inf,17.6019,0.4974,0.1533,0.4313,6.0926,113.4801,10.6527,44.2141,14.0785
"GRU-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",68.311,0.0683,0.4913094,68.8324,0.1694,0.0151,0.0152,0.0908,0.0292,0.171,inf,19.1416,0.1694,0.2057,0.0152,7.4418,196.5141,14.0183,56.4637,15.8627
