model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"MLNN-1H-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",14.5854,0.0146,0.10718179,14.7168,0.5378,0.0081,0.4806,0.072,0.0154,0.1242,inf,17.3612,0.5378,0.1403,0.4806,5.9075,103.6484,10.1808,41.7817,13.6928
"MLNN-1H-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",19.1824,0.0192,0.07403731,19.3076,0.5693,0.0072,0.5442,0.07,0.0135,0.1163,inf,17.3245,0.5693,0.1278,0.5442,5.7365,90.9475,9.5366,35.8986,13.5627
"MLNN-1H-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",17.8973,0.0179,0.14799786,18.0978,0.5619,0.0075,0.5235,0.0702,0.0141,0.1189,inf,17.1756,0.5619,0.1342,0.5235,5.7586,95.0882,9.7513,40.3284,13.4627
"MLNN-1H-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",19.4104,0.0194,0.09453034,19.5402,0.6414,0.0057,0.6244,0.0647,0.0111,0.1056,inf,16.5684,0.6414,0.1064,0.6244,5.3053,74.9511,8.6574,32.5948,12.5725
"MLNN-1H-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",20.4286,0.0204,0.11241031,20.5687,0.5913,0.0067,0.569,0.0676,0.0128,0.1131,inf,16.9985,0.5913,0.1204,0.569,5.5458,85.9994,9.2736,35.3918,13.1345
"MLNN-1H-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",21.6826,0.0217,0.14645004,21.9114,0.3864,0.0101,0.3432,0.0788,0.0195,0.1396,inf,18.4917,0.3864,0.1518,0.3432,6.4582,131.0511,11.4478,39.8463,14.7621
"MLNN-1H-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",19.467,0.0195,0.05875325,19.5619,0.4709,0.0079,0.4649,0.0741,0.0159,0.126,inf,19.3494,0.4709,0.1505,0.4649,6.0765,106.7746,10.3332,33.4321,14.6917
"MLNN-1H-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",20.2478,0.0202,0.09690022,20.371,0.5826,0.0069,0.5565,0.0689,0.0132,0.1147,inf,17.085,0.5826,0.1246,0.5565,5.6462,88.489,9.4069,37.492,13.2405
"MLNN-1H-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",20.6062,0.0206,0.10351133,20.7382,0.6139,0.0062,0.5918,0.068,0.0121,0.1101,inf,16.8151,0.6139,0.1152,0.5918,5.5745,81.4551,9.0252,36.5514,12.9454
"MLNN-1H-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",19.6637,0.0197,0.2286129,20.0111,0.5266,0.0081,0.4791,0.0747,0.0155,0.1243,inf,17.9187,0.5266,0.136,0.4791,6.1248,103.95,10.1956,38.1653,14.1565
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,min,0.3864,0.1064,0.3432,5.3053,74.9511,8.6574,32.5948,12.5725
,,,,,,,,,,,,max,0.6414,0.1518,0.6244,6.4582,131.0511,11.4478,41.7817,14.7621
,,,,,,,,,,,,mean,0.54821,0.13072,0.51772,5.81339,96.23544,9.78084,37.14824,13.62214
,,,,,,,,,,,,std,0.074091422,0.014727887,0.080175624,0.335747009,15.99727193,0.796283705,2.973230396,0.723119637
,,,,,,,,,,,,cv,0.135151533,0.112667437,0.154862906,0.057754083,0.166230569,0.081412609,0.080036911,0.053084144
