model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",51.9315,0.0519,0.40355182,52.3704,0.4936,0.0089,0.4398,0.0739,0.0166,0.1289,inf,17.6399,0.4936,0.1467,0.4398,6.0605,111.7789,10.5726,41.1139,14.0394
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",52.9662,0.053,0.3744719,53.3784,0.5449,0.0078,0.5051,0.0712,0.0147,0.1212,inf,17.4141,0.5449,0.1341,0.5051,5.8413,98.7584,9.9377,38.3707,13.6923
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",53.6277,0.0536,0.249192,53.911,0.5613,0.0075,0.5264,0.0698,0.0141,0.1185,inf,17.0853,0.5613,0.1323,0.5264,5.723,94.4958,9.7209,38.9232,13.4133
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",48.4587,0.0485,0.24244189,48.7554,0.5834,0.0072,0.543,0.0697,0.0136,0.1165,inf,17.2043,0.5834,0.1302,0.543,5.7194,91.1974,9.5497,38.0974,13.4939
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",49.0434,0.049,0.2136662,49.2827,0.4559,0.0095,0.3964,0.0764,0.0179,0.1338,inf,17.9888,0.4559,0.1512,0.3964,6.2661,120.4526,10.9751,41.2457,14.3839
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",47.7331,0.0477,0.32712436,48.0914,0.5653,0.0075,0.5228,0.0703,0.0142,0.119,inf,17.2307,0.5653,0.1316,0.5228,5.7629,95.2281,9.7585,38.2304,13.5123
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",48.633,0.0486,0.34560704,49.0097,0.5461,0.0079,0.5017,0.0709,0.0148,0.1216,inf,17.2355,0.5461,0.1367,0.5017,5.8162,99.4349,9.9717,40.0184,13.575
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",50.081,0.0501,0.28512502,50.4328,0.5444,0.0077,0.5087,0.0705,0.0146,0.1207,inf,17.2947,0.5444,0.1322,0.5087,5.7819,98.0317,9.9011,37.754,13.5567
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",49.5754,0.0496,0.28369761,49.8949,0.518,0.0084,0.4664,0.0731,0.0158,0.1258,inf,17.6395,0.518,0.141,0.4664,5.996,106.4837,10.3191,39.9433,13.9538
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",49.105,0.0491,0.13173556,49.2719,0.6097,0.0066,0.5786,0.0676,0.0125,0.1118,inf,16.8768,0.6097,0.1215,0.5786,5.5405,84.0936,9.1703,36.5967,13.0929
