model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",102.4852,0.1025,0.49071956,103.0559,0.4646,0.0095,0.3998,0.0761,0.0178,0.1335,inf,17.8942,0.4646,0.154,0.3998,6.2369,119.7595,10.9435,42.9836,14.33
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",95.5149,0.0955,0.94163871,96.5538,0.0919,0.0164,-0.0864,0.0953,0.0322,0.1796,inf,19.6103,0.0919,0.2151,-0.0864,7.8177,216.7867,14.7237,58.6759,16.3387
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",93.2238,0.0932,0.3243897,93.5708,0.4547,0.0098,0.3866,0.0764,0.0182,0.1349,inf,17.8895,0.4547,0.158,0.3866,6.2688,122.409,11.0639,44.1274,14.3734
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",95.8587,0.0959,0.33327317,96.2267,0.2237,0.0141,0.0834,0.0884,0.0272,0.1649,inf,18.9503,0.2237,0.1981,0.0834,7.2472,182.8962,13.5239,54.2947,15.6392
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",76.9586,0.077,0.31256223,77.2934,0.41,0.0107,0.3217,0.0794,0.0201,0.1419,inf,18.1712,0.41,0.1676,0.3217,6.5108,135.3574,11.6343,46.8574,14.7032
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",75.854,0.0759,0.28831577,76.1663,0.2568,0.0135,0.1292,0.0863,0.0258,0.1608,inf,18.7409,0.2568,0.1934,0.1292,7.0806,173.7649,13.182,53.1045,15.4236
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",76.0227,0.076,0.28732085,76.3461,0.3372,0.012,0.2334,0.0828,0.0228,0.1508,inf,18.4788,0.3372,0.1795,0.2334,6.7893,152.9762,12.3684,49.3531,15.0788
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",75.6622,0.0757,0.31581736,76.0276,0.4146,0.0105,0.34,0.0784,0.0196,0.14,inf,18.0783,0.4146,0.165,0.34,6.4264,131.7086,11.4764,45.5038,14.607
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",77.0226,0.077,0.32378578,77.3665,0.5159,0.0083,0.474,0.0725,0.0156,0.1249,inf,17.5289,0.5159,0.1409,0.474,5.9472,104.9639,10.2452,39.6426,13.8804
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",75.6115,0.0756,0.29309797,75.9346,0.2376,0.0139,0.1009,0.0883,0.0267,0.1633,inf,18.9973,0.2376,0.1952,0.1009,7.2412,179.409,13.3944,53.3248,15.6572
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,min,0.0919,0.1409,-0.0864,5.9472,104.9639,10.2452,39.6426,13.8804
,,,,,,,,,,,,max,0.5159,0.2151,0.474,7.8177,216.7867,14.7237,58.6759,16.3387
,,,,,,,,,,,,mean,0.3407,0.17668,0.23826,6.75661,152.00314,12.25557,48.78678,15.00315
,,,,,,,,,,,,std,0.134402984,0.023399468,0.1767477,0.5811979,35.26722993,1.41596212,5.973944721,0.756874003
,,,,,,,,,,,,cv,0.394490709,0.132439824,0.741826994,0.086019158,0.232016457,0.115536211,0.122450072,0.050447673
