model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",8121.0838,8.1211,0.06235933,8121.8507,0.6048,0.0066,0.5736,0.0674,0.0127,0.1125,inf,16.8645,0.6048,0.1196,0.5736,5.5288,85.0903,9.2244,35.6645,13.0411
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",8075.428,8.0754,0.04980421,8076.2969,0.5492,0.008,0.4965,0.0725,0.0149,0.1222,inf,17.5559,0.5492,0.1404,0.4965,5.943,100.4703,10.0235,41.0499,13.8901
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",8008.5319,8.0085,0.03997517,8009.5019,0.6066,0.0067,0.5678,0.0678,0.0128,0.1133,inf,16.9352,0.6066,0.1229,0.5678,5.5636,86.2525,9.2872,36.8399,13.1483
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",8083.201,8.0832,0.07070136,8083.8137,0.5734,0.0076,0.5202,0.0705,0.0142,0.1193,inf,17.211,0.5734,0.1337,0.5202,5.7848,95.7312,9.7842,39.6487,13.525
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",7978.4485,7.9784,0.06861687,7978.9503,0.5936,0.0067,0.5691,0.0673,0.0128,0.1131,inf,16.9454,0.5936,0.1205,0.5691,5.5226,85.9748,9.2723,35.6012,13.0997
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",7998.4358,7.9984,0.04545665,7999.2937,0.562,0.0076,0.5158,0.0703,0.0144,0.1199,inf,17.163,0.562,0.135,0.5158,5.761,96.6278,9.8299,40.6464,13.4753
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",8074.9142,8.0749,0.07843041,8075.692,0.604,0.0065,0.5791,0.0669,0.0125,0.1118,inf,16.9123,0.604,0.1178,0.5791,5.4896,83.9845,9.1643,34.9463,13.0329
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",8138.9933,8.139,0.06081152,8139.4664,0.5967,0.0069,0.5599,0.068,0.0131,0.1143,inf,16.8499,0.5967,0.126,0.5599,5.5721,87.8105,9.3707,37.8875,13.1253
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",7754.7507,7.7548,0.05070281,7755.6172,0.6301,0.0062,0.604,0.0661,0.0118,0.1084,inf,16.6946,0.6301,0.1156,0.604,5.4182,79.0285,8.8898,35.1512,12.8664
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",5357.2898,5.3573,0.03998613,5357.7254,0.5841,0.0072,0.5442,0.069,0.0135,0.1163,inf,17.1315,0.5841,0.1287,0.5442,5.6602,90.9592,9.5373,37.8242,13.3876
