model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",7215.2893,7.2153,0.06019878,7216.2217,0.4826,0.0085,0.4597,0.0734,0.016,0.1266,inf,17.645,0.4826,0.1408,0.4597,6.0193,107.8223,10.3838,39.0634,13.9737
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",7296.2668,7.2963,0.07012391,7296.9144,0.4237,0.0093,0.3932,0.0764,0.018,0.1342,inf,18.0657,0.4237,0.1452,0.3932,6.2619,121.0825,11.0037,39.4615,14.3362
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",7065.4227,7.0654,0.09613824,7066.2263,0.5233,0.0072,0.5232,0.0717,0.0141,0.119,inf,18.57,0.5233,0.1124,0.5232,5.8776,95.1401,9.754,30.3319,13.7816
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",7168.1651,7.1682,0.04509568,7168.7955,0.4792,0.0086,0.4591,0.0745,0.0161,0.1267,inf,17.8811,0.4792,0.1423,0.4591,6.1092,107.9285,10.3889,39.1613,14.2009
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",7236.1105,7.2361,0.0494113,7237.0369,0.4718,0.0095,0.4021,0.0758,0.0177,0.1332,inf,17.828,0.4718,0.1553,0.4021,6.2171,119.3053,10.9227,43.8203,14.2877
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",7285.159,7.2852,0.04025626,7285.8722,0.6228,0.0059,0.6058,0.0673,0.0117,0.1082,inf,16.9378,0.6228,0.1101,0.6058,5.5166,78.6617,8.8691,36.7666,12.8792
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",7118.5167,7.1185,0.04633474,7119.654,0.5552,0.0076,0.5134,0.0709,0.0144,0.1202,inf,17.3863,0.5552,0.1299,0.5134,5.8126,97.1005,9.854,37.0585,13.6068
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",7210.39,7.2104,0.08596683,7211.1072,0.2921,0.0121,0.2169,0.0841,0.0232,0.1524,inf,18.7881,0.2921,0.1759,0.2169,6.8928,156.2628,12.5005,47.6299,15.2807
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",7116.112,7.1161,0.05393577,7116.8228,0.4008,0.0108,0.3112,0.0811,0.0204,0.143,inf,18.3569,0.4008,0.1692,0.3112,6.6476,137.4531,11.724,48.4902,14.8715
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",7041.7376,7.0417,0.03508234,7042.533,0.499,0.0081,0.4773,0.0731,0.0155,0.1245,inf,17.7833,0.499,0.1345,0.4773,5.9976,104.2918,10.2123,36.7964,13.9975
