model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",9576.342,9.5763,0.07134056,9577.2682,0.5479,0.0076,0.51,0.0703,0.0145,0.1206,inf,17.0017,0.5479,0.1349,0.51,5.7632,97.7716,9.888,43.0468,13.315
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",9649.738,9.6497,0.07669973,9650.5873,0.6086,0.0062,0.5866,0.066,0.0123,0.1108,inf,17.28,0.6086,0.1215,0.5866,5.4084,82.4925,9.0825,37.3507,13.1433
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",9606.4862,9.6065,0.03136611,9607.2437,0.5719,0.0072,0.5434,0.0695,0.0135,0.1164,inf,17.1285,0.5719,0.1304,0.5434,5.696,91.1099,9.5452,39.2544,13.3998
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",9546.513,9.5465,0.05128241,9547.4321,0.6291,0.006,0.6071,0.0655,0.0117,0.108,inf,16.5972,0.6291,0.1103,0.6071,5.3744,78.3929,8.854,34.5814,12.648
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",9728.8351,9.7288,0.06018662,9729.5562,0.3943,0.0101,0.3378,0.0754,0.0197,0.1402,inf,17.1966,0.3943,0.1613,0.3378,6.181,132.1434,11.4954,51.6213,13.7778
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",9482.4521,9.4825,0.05008054,9483.1462,0.3127,0.0114,0.2517,0.0773,0.0222,0.149,inf,17.3675,0.3127,0.1718,0.2517,6.3407,149.3218,12.2197,50.5948,14.0378
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",9650.8434,9.6508,0.07907271,9651.3313,0.6286,0.0063,0.5927,0.0672,0.0121,0.1099,inf,16.7336,0.6286,0.1207,0.5927,5.5132,81.2642,9.0147,38.1495,12.9688
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",9532.7344,9.5327,0.06437564,9533.3209,0.6109,0.0061,0.5936,0.0643,0.0121,0.1098,inf,16.4134,0.6109,0.109,0.5936,5.2744,81.0957,9.0053,35.5065,12.2864
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",9385.9106,9.3859,0.04692745,9386.5789,0.4496,0.0092,0.4068,0.0734,0.0176,0.1327,inf,16.9389,0.4496,0.1522,0.4068,6.0215,118.3757,10.8801,47.4062,13.5384
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",3823.7114,3.8237,0.01540804,3824.0009,0.5931,0.006,0.5739,0.0668,0.0126,0.1125,inf,17.7979,0.5931,0.1498,0.5739,5.4771,85.0278,9.2211,36.0247,13.2409
