model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"EO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",27318.5905,27.3186,0.22032237,27319.2364,0.4386,0.0104,0.4373,0.1018,0.0234,0.1531,55.1985,37.8031,0.4386,0.1683,0.4373,2.6306,15.6438,3.9552,53.1443,37.2796
"EO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",30974.7368,30.9747,0.1901896,30975.9302,0.4241,0.0107,0.4234,0.104,0.024,0.155,57.2764,38.6328,0.4241,0.1748,0.4234,2.6876,16.0301,4.0038,55.1101,38.1039
"EO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",28731.2491,28.7312,0.21349382,28732.3978,0.3924,0.0111,0.3909,0.1044,0.0254,0.1593,56.6989,38.3882,0.3924,0.1742,0.3909,2.6967,16.9339,4.1151,54.5406,37.8648
"EO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",32448.1105,32.4481,0.10485411,32449.3117,0.4134,0.0107,0.4115,0.1026,0.0245,0.1566,56.2028,37.8305,0.4134,0.1711,0.4115,2.6511,16.3596,4.0447,54.0385,37.3142
"EO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",32290.0076,32.29,0.18725276,32291.531,0.3872,0.0113,0.3863,0.1049,0.0256,0.1599,59.0042,38.8907,0.3872,0.1822,0.3863,2.7108,17.0625,4.1307,56.691,38.3672
"EO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",32208.8684,32.2089,0.19127417,32210.3025,0.3979,0.011,0.3947,0.1036,0.0252,0.1588,56.826,38.2985,0.3979,0.1756,0.3947,2.6758,16.8268,4.102,54.6151,37.7769
"EO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",32775.4336,32.7754,0.17874312,32777.0075,0.3944,0.011,0.3903,0.103,0.0254,0.1594,54.0997,37.8206,0.3944,0.1701,0.3903,2.6595,16.9513,4.1172,52.1262,37.2948
"EO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",33409.6776,33.4097,0.26066089,33411.2129,0.4236,0.0107,0.4226,0.104,0.0241,0.1551,55.6719,38.3371,0.4236,0.1729,0.4226,2.6853,16.0534,4.0067,53.6515,37.8142
"EO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",33539.3431,33.5393,0.20122695,33541.2339,0.4006,0.011,0.4,0.1055,0.025,0.1581,56.8398,38.7901,0.4006,0.1757,0.4,2.7261,16.6819,4.0843,54.7406,38.2594
"EO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",32906.3062,32.9063,0.30332518,32908.1911,0.3692,0.0114,0.3668,0.1059,0.0264,0.1624,57.7358,38.7284,0.3692,0.1776,0.3668,2.7363,17.6026,4.1955,55.5118,38.2037
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,min,0.3692,0.1683,0.3668,2.6306,15.6438,3.9552,52.1262,37.2796
,,,,,,,,,,,,max,0.4386,0.1822,0.4373,2.7363,17.6026,4.1955,56.691,38.3672
,,,,,,,,,,,,mean,0.40414,0.17425,0.40238,2.68598,16.61459,4.07552,54.41697,37.82787
,,,,,,,,,,,,std,0.020661999,0.003986435,0.021134847,0.033273506,0.58743314,0.072133238,1.273929642,0.414635698
,,,,,,,,,,,,cv,0.051125846,0.022877678,0.052524597,0.012387846,0.035356463,0.01769915,0.023410521,0.010961117
