model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",32575.7998,32.5758,0.35140467,32576.4686,0.4172,0.0106,0.4127,0.1024,0.0245,0.1564,54.0579,37.998,0.4172,0.1678,0.4127,2.6449,16.3288,4.0409,52.0665,37.4667
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",31788.5821,31.7886,0.21503401,31789.5489,0.3875,0.0112,0.3858,0.1065,0.0256,0.16,56.6814,38.9535,0.3875,0.1756,0.3858,2.7503,17.0765,4.1324,54.5746,38.4226
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",28178.1692,28.1782,0.21409249,28179.3697,0.4265,0.0106,0.4249,0.1027,0.024,0.1548,53.8866,37.8446,0.4265,0.1659,0.4249,2.6539,15.9888,3.9986,51.9363,37.3179
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",28296.8445,28.2968,0.23399425,28298.2891,0.4259,0.0105,0.4255,0.1026,0.0239,0.1547,56.4805,38.0388,0.4259,0.1707,0.4255,2.6511,15.9712,3.9964,54.3467,37.515
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",33067.9322,33.0679,0.23004365,33069.5448,0.4324,0.0105,0.4312,0.1026,0.0237,0.154,54.9357,38.0668,0.4324,0.1682,0.4312,2.6514,15.8128,3.9765,52.9135,37.5368
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",32714.3565,32.7144,0.28970623,32716.2103,0.4052,0.011,0.4047,0.1051,0.0248,0.1575,57.1412,38.6583,0.4052,0.1738,0.4047,2.7147,16.5487,4.068,54.9825,38.1304
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",33458.6661,33.4587,0.29525995,33460.1219,0.3931,0.0111,0.3929,0.1051,0.0253,0.1591,58.3712,38.6023,0.3931,0.1765,0.3929,2.7148,16.8783,4.1083,56.106,38.0793
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",33941.7869,33.9418,0.19291449,33943.5825,0.418,0.0107,0.4166,0.1033,0.0243,0.1559,56.4105,38.1715,0.418,0.171,0.4166,2.6692,16.2195,4.0273,54.2574,37.6467
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",28689.5983,28.6896,0.20942807,28691.5776,0.426,0.0106,0.422,0.1024,0.0241,0.1552,54.0249,37.8638,0.426,0.1666,0.422,2.646,16.0677,4.0085,52.0213,37.3386
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",33578.9838,33.579,0.14817548,33581.6459,0.4295,0.0106,0.4288,0.1028,0.0238,0.1543,56.9426,38.1905,0.4295,0.1726,0.4288,2.6564,15.8808,3.9851,54.7716,37.6676
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,min,0.3875,0.1659,0.3858,2.6449,15.8128,3.9765,51.9363,37.3179
,,,,,,,,,,,,max,0.4324,0.1765,0.4312,2.7503,17.0765,4.1324,56.106,38.4226
,,,,,,,,,,,,mean,0.41613,0.17087,0.41451,2.67527,16.27731,4.0342,53.79764,37.71216
,,,,,,,,,,,,std,0.015698694,0.003729477,0.015501717,0.037311721,0.431200754,0.053193337,1.460443228,0.372017608
,,,,,,,,,,,,cv,0.037725456,0.021826401,0.037397691,0.013946899,0.02649091,0.013185597,0.027146976,0.009864659
