model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",33967.3642,33.9674,0.34244633,33968.0624,0.413,0.0108,0.412,0.1031,0.0245,0.1565,55.3562,38.137,0.413,0.1719,0.412,2.6626,16.3483,4.0433,53.32,37.6053
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",33031.5328,33.0315,0.21045208,33032.2942,0.4167,0.0108,0.4162,0.1044,0.0243,0.156,58.6754,38.6069,0.4167,0.1774,0.4162,2.6962,16.2315,4.0288,56.3778,38.0858
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",27714.2239,27.7142,0.15235901,27715.0971,0.3989,0.0109,0.3945,0.1035,0.0252,0.1588,54.8824,38.1432,0.3989,0.1695,0.3945,2.6728,16.8326,4.1028,52.8451,37.616
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",33740.4639,33.7405,0.23793888,33741.6747,0.3777,0.0113,0.3777,0.1077,0.0259,0.161,57.5129,38.9512,0.3777,0.1766,0.3777,2.7811,17.2994,4.1593,55.3968,38.4195
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",33020.2337,33.0202,0.32333708,33021.6025,0.3558,0.0116,0.3558,0.1069,0.0268,0.1638,58.6498,38.6239,0.3558,0.1801,0.3558,2.7616,17.9081,4.2318,56.442,38.1005
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",32706.6731,32.7067,0.3589313,32708.5016,0.4189,0.0107,0.4177,0.1032,0.0243,0.1558,56.2197,38.3602,0.4189,0.1722,0.4177,2.6668,16.1887,4.0235,54.0893,37.8322
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",33180.4655,33.1805,0.21641731,33182.0187,0.3967,0.0111,0.3964,0.1048,0.0251,0.1586,56.7586,38.3278,0.3967,0.1756,0.3964,2.7069,16.7794,4.0963,54.6339,37.8046
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",34485.0669,34.4851,0.19519114,34487.5547,0.3967,0.011,0.3958,0.104,0.0252,0.1587,56.012,38.1202,0.3967,0.1729,0.3958,2.6854,16.7972,4.0984,53.9356,37.5958
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",34423.1689,34.4232,0.39566708,34426.1049,0.3863,0.0112,0.3849,0.1059,0.0256,0.1601,56.927,38.7948,0.3863,0.1765,0.3849,2.7347,17.0995,4.1352,54.8007,38.2636
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",34522.3931,34.5224,0.17325473,34524.6135,0.3396,0.0117,0.3322,0.1066,0.0278,0.1668,58.0703,39.7512,0.3396,0.2135,0.3322,2.7524,18.5656,4.3088,55.8372,39.2253
