model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",33175.1122,33.1751,0.23288012,33175.7151,0.314,0.0128,0.3121,0.113,0.0287,0.1693,62.093,41.1267,0.314,0.2007,0.3121,2.9188,19.1243,4.3731,59.6872,40.5906
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",33010.8718,33.0109,0.2489543,33011.8591,0.3525,0.0118,0.3503,0.1064,0.0271,0.1645,57.1837,38.92,0.3525,0.1819,0.3503,2.7483,18.0612,4.2498,55.024,38.3934
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",33992.3111,33.9923,0.15988159,33993.3389,-0.2268,0.0214,-0.2282,0.138,0.0512,0.2262,68.1473,45.8377,-0.2268,0.2966,-0.2282,3.565,34.1451,5.8434,65.6478,45.2731
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",34634.6654,34.6347,0.204777,34635.9063,0.3332,0.0125,0.3309,0.1094,0.0279,0.167,64.5168,40.4159,0.3332,0.2068,0.3309,2.8247,18.6014,4.3129,61.8367,39.8957
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",34211.1302,34.2111,0.31832194,34212.8746,0.375,0.0119,0.3735,0.1093,0.0261,0.1616,65.1461,40.8073,0.375,0.2061,0.3735,2.822,17.4183,4.1735,62.4485,40.2824
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",34917.9632,34.918,0.18205404,34919.2603,0.3706,0.0115,0.3672,0.1051,0.0264,0.1624,57.9846,38.5974,0.3706,0.1816,0.3672,2.7141,17.5921,4.1943,55.6857,38.0775
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",35539.3946,35.5394,0.29768229,35541.4433,0.2114,0.0152,0.2062,0.1231,0.0331,0.1819,78.6208,45.5543,0.2114,0.2688,0.2062,3.1785,22.0693,4.6978,75.1714,45.0186
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",36817.6978,36.8177,0.22672296,36819.486,0.2022,0.0147,0.197,0.1191,0.0335,0.1829,66.275,43.294,0.2022,0.2449,0.197,3.0771,22.3244,4.7249,63.6335,42.7501
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",36061.638,36.0616,0.25172496,36064.2897,0.4018,0.011,0.3997,0.104,0.025,0.1582,56.6935,38.5625,0.4018,0.1749,0.3997,2.6871,16.6889,4.0852,54.5479,38.0323
"WOA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",26615.6739,26.6157,0.13473272,26618.6183,0.1292,0.0164,0.1247,0.1258,0.0365,0.191,79.5589,45.96,0.1292,0.2748,0.1247,3.2504,24.3336,4.9329,76.0177,45.4232
