model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",31316.518,31.3165,0.24904037,31317.112,0.2383,0.0155,0.2044,0.1256,0.0332,0.1821,85.0087,47.5177,0.2383,0.2904,0.2044,3.2431,22.1189,4.7031,81.052,46.9793
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",27649.8917,27.6499,0.1790452,27650.8744,0.1065,0.0174,0.0846,0.1218,0.0381,0.1953,70.9469,44.9099,0.1065,0.2894,0.0846,3.1451,25.4483,5.0446,67.9345,44.3652
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",28180.0669,28.1801,0.21818542,28181.022,0.1969,0.0144,0.1964,0.1184,0.0335,0.183,63.0033,41.5781,0.1969,0.2071,0.1964,3.0587,22.3409,4.7266,60.6194,41.0414
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",32232.9124,32.2329,0.15593529,32234.0319,0.2434,0.014,0.2363,0.1144,0.0318,0.1784,68.2179,41.9426,0.2434,0.2248,0.2363,2.9542,21.2302,4.6076,65.2887,41.4169
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",31899.5852,31.8996,0.33811903,31900.8602,-0.4289,0.0335,-0.5556,0.1822,0.0648,0.2546,122.1348,68.0893,-0.4289,0.7139,-0.5556,4.7074,43.246,6.5762,116.5256,67.4288
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",31877.2997,31.8773,0.27330256,31878.9903,0.3495,0.0131,0.3179,0.1129,0.0284,0.1686,65.856,42.7429,0.3495,0.225,0.3179,2.9174,18.9639,4.3548,63.0036,42.2032
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",32503.0951,32.5031,0.23620319,32504.9475,0.2726,0.014,0.27,0.1178,0.0304,0.1744,82.1075,44.6418,0.2726,0.2654,0.27,3.0422,20.2948,4.505,78.373,44.1199
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",33355.6604,33.3557,0.18870068,33357.2048,0.1943,0.0176,0.0851,0.132,0.0381,0.1953,76.2841,49.3585,0.1943,0.2895,0.0851,3.4098,25.4362,5.0434,72.9019,48.7881
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",33667.8663,33.6679,0.18889713,33669.5719,0.121,0.0176,0.1072,0.1336,0.0372,0.1929,99.7205,49.323,0.121,0.3378,0.1072,3.451,24.8213,4.9821,94.9348,48.803
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",32974.2849,32.9743,0.19488311,32977.0292,0.1059,0.0179,0.0777,0.1318,0.0384,0.196,92.605,48.8106,0.1059,0.3243,0.0777,3.404,25.6421,5.0638,88.2103,48.2816
