model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",26944.3347,26.9443,0.25574946,26945.0579,0.4111,0.0108,0.4103,0.1047,0.0246,0.1568,56.4233,38.4205,0.4111,0.1721,0.4103,2.7042,16.3934,4.0489,54.3233,37.8941
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",34391.6281,34.3916,0.18704319,34392.332,0.4137,0.0108,0.4127,0.1041,0.0245,0.1564,56.1661,38.4549,0.4137,0.1738,0.4127,2.6879,16.3282,4.0408,54.0967,37.9239
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",35142.0415,35.142,0.23289084,35143.0165,0.3812,0.0114,0.3811,0.1068,0.0258,0.1606,57.3401,38.8923,0.3812,0.1784,0.3811,2.7597,17.2061,4.148,55.2385,38.3585
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",28367.758,28.3678,0.18106794,28368.8064,0.4236,0.0106,0.4224,0.1035,0.0241,0.1551,55.8584,38.4025,0.4236,0.1721,0.4224,2.6725,16.0564,4.007,53.7962,37.8706
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",34242.9258,34.2429,0.37017083,34244.4981,0.4135,0.0108,0.4129,0.1046,0.0245,0.1564,56.9794,38.5522,0.4135,0.173,0.4129,2.701,16.3205,4.0399,54.8317,38.0244
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",33566.3134,33.5663,0.3335216,33568.0171,0.4192,0.0107,0.4173,0.1029,0.0243,0.1558,55.771,38.2804,0.4192,0.1714,0.4173,2.6571,16.1992,4.0248,53.6943,37.7486
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",34194.2427,34.1942,0.24857163,34195.867,0.4132,0.0108,0.412,0.1036,0.0245,0.1565,56.1506,38.1966,0.4132,0.1728,0.412,2.6764,16.3465,4.0431,54.0631,37.6719
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",29049.1378,29.0491,0.21683884,29051.3683,0.3892,0.0111,0.3886,0.1055,0.0255,0.1596,56.3993,38.5067,0.3892,0.1735,0.3886,2.7242,16.997,4.1227,54.2998,37.9775
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",28801.8062,28.8018,0.22256732,28803.5697,0.3762,0.0114,0.3752,0.1066,0.026,0.1613,56.5353,38.7149,0.3762,0.1751,0.3752,2.7543,17.369,4.1676,54.4543,38.1839
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",34027.7322,34.0277,0.20241547,34029.4898,0.3977,0.011,0.3966,0.1047,0.0251,0.1586,56.0088,38.4236,0.3977,0.1725,0.3966,2.7036,16.7746,4.0957,53.9441,37.894
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,min,0.3762,0.1714,0.3752,2.6571,16.0564,4.007,53.6943,37.6719
,,,,,,,,,,,,max,0.4236,0.1784,0.4224,2.7597,17.369,4.1676,55.2385,38.3585
,,,,,,,,,,,,mean,0.40386,0.17347,0.40291,2.70409,16.59909,4.07385,54.2742,37.95474
,,,,,,,,,,,,std,0.016619279,0.002019928,0.016356884,0.033768113,0.454836599,0.055616569,0.474457164,0.199665371
,,,,,,,,,,,,cv,0.04115109,0.011644253,0.040596869,0.012487792,0.027401297,0.013652091,0.008741855,0.005260618
