model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",13383.7957,13.3838,0.09502721,13384.5462,0.6309,0.0062,0.6,0.0676,0.0119,0.1089,inf,16.9429,0.6309,0.1185,0.6,5.5425,79.8133,8.9338,36.6158,13.1215
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",13626.3968,13.6264,0.08652782,13627.0698,0.2477,0.0123,0.178,0.081,0.0244,0.1562,inf,17.7728,0.2477,0.1782,0.178,6.6433,164.0279,12.8073,52.5847,14.4242
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",11080.9095,11.0809,0.10060573,11081.7437,0.4408,0.0096,0.3878,0.0749,0.0182,0.1348,inf,17.3521,0.4408,0.1567,0.3878,6.1397,122.1658,11.0529,47.0758,13.8904
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",13836.1595,13.8362,0.09083867,13837.2044,0.6313,0.0063,0.6001,0.068,0.0119,0.1089,inf,17.0153,0.6313,0.1186,0.6001,5.5761,79.7934,8.9327,36.5916,13.1847
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",11050.2989,11.0503,0.08709311,11051.5253,0.4476,0.0094,0.3955,0.0743,0.0179,0.1339,inf,17.2716,0.4476,0.1535,0.3955,6.0924,120.6204,10.9827,46.6372,13.7784
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",11094.3114,11.0943,0.11607885,11095.9138,0.6565,0.0057,0.6264,0.0646,0.0111,0.1053,inf,16.305,0.6565,0.1088,0.6264,5.2991,74.5568,8.6346,35.6546,12.424
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",11302.2807,11.3023,0.06440425,11303.7228,0.3174,0.0114,0.2521,0.0778,0.0222,0.149,inf,17.4491,0.3174,0.172,0.2521,6.3808,149.2312,12.216,51.2249,14.0888
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",11267.357,11.2674,0.08822536,11269.3407,0.5156,0.0085,0.4637,0.0722,0.0159,0.1262,inf,17.0955,0.5156,0.144,0.4637,5.9199,107.0118,10.3447,43.9351,13.5527
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",12758.1201,12.7581,0.05170965,12760.5932,0.6494,0.0057,0.6228,0.065,0.0112,0.1058,inf,16.4542,0.6494,0.1091,0.6228,5.3283,75.2714,8.6759,35.6784,12.5279
"SBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-alpha_0.94-pm_0.05-z_0.02",11343.6955,11.3437,0.08004737,11345.2877,0.5199,0.0083,0.4719,0.0716,0.0157,0.1252,inf,17.0172,0.5199,0.1427,0.4719,5.8673,105.3839,10.2657,44.0329,13.454
