model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",11664.2464,11.6642,0.09928918,11665.0493,0.1288,0.0152,0.0017,0.0912,0.0296,0.1721,inf,19.1934,0.1288,0.2063,0.0017,7.4821,199.2096,14.1142,55.8343,15.9178
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",11570.0903,11.5701,0.07512379,11571.0229,0.5,0.0081,0.478,0.0735,0.0155,0.1245,inf,17.7972,0.5,0.1355,0.478,6.028,104.1665,10.2062,39.2624,13.9698
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",11391.3136,11.3913,0.10221338,11392.3059,0.1899,0.0141,0.0835,0.0888,0.0272,0.1649,inf,19.0744,0.1899,0.1957,0.0835,7.2827,182.8723,13.523,52.8434,15.725
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",11524.5655,11.5246,0.09353638,11525.7692,0.3315,0.0122,0.2215,0.0825,0.0231,0.152,inf,18.3817,0.3315,0.1827,0.2215,6.766,155.3383,12.4635,50.9855,15.0164
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",11353.1346,11.3531,0.10906816,11354.6196,0.5169,0.0083,0.4715,0.0725,0.0157,0.1252,inf,17.5513,0.5169,0.1399,0.4715,5.9489,105.4679,10.2698,39.5322,13.8703
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",11348.3681,11.3484,0.10973763,11349.9517,0.3681,0.0114,0.277,0.0815,0.0215,0.1465,inf,18.3837,0.3681,0.1733,0.277,6.684,144.2701,12.0112,47.2637,14.9548
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",11541.7597,11.5418,0.08360386,11543.4297,0.5058,0.0089,0.433,0.0744,0.0168,0.1297,inf,17.6253,0.5058,0.1501,0.433,6.0986,113.136,10.6365,44.045,14.0485
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",11843.9966,11.844,0.14957476,11846.7485,0.2108,0.0143,0.0735,0.0887,0.0275,0.1658,inf,18.9821,0.2108,0.1992,0.0735,7.2772,184.8865,13.5973,54.8947,15.6717
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",11246.4765,11.2465,0.08323574,11248.5929,0.5409,0.0076,0.5053,0.0716,0.0147,0.1212,inf,17.5091,0.5409,0.1279,0.5053,5.8744,98.7094,9.9353,37.021,13.6328
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",11242.753,11.2428,0.06720328,11244.6774,0.4874,0.0088,0.435,0.0773,0.0168,0.1295,inf,18.2425,0.4874,0.144,0.435,6.3358,112.7394,10.6179,42.4526,14.461
