model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",12057.7517,12.0578,0.15637112,12058.6208,0.6007,0.0068,0.5638,0.0679,0.0129,0.1138,inf,16.9266,0.6007,0.1245,0.5638,5.5684,87.0493,9.33,37.1634,13.1691
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",11253.7687,11.2538,0.08021641,11254.591,0.6238,0.0062,0.5975,0.0662,0.0119,0.1093,inf,16.5894,0.6238,0.1173,0.5975,5.4262,80.3201,8.9622,36.0501,12.7992
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",11722.2393,11.7222,0.06105685,11723.2076,0.6331,0.0061,0.6075,0.0662,0.0116,0.1079,inf,16.6616,0.6331,0.1153,0.6075,5.4268,78.3188,8.8498,35.4967,12.8403
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",11800.9187,11.8009,0.08343697,11802.4326,0.6024,0.0068,0.5686,0.0676,0.0128,0.1131,inf,16.8553,0.6024,0.1241,0.5686,5.5456,86.0828,9.2781,37.4343,13.1011
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",10855.308,10.8553,0.1026175,10856.544,0.5752,0.0075,0.5303,0.07,0.0139,0.1181,inf,17.182,0.5752,0.1346,0.5303,5.7435,93.7297,9.6814,40.0076,13.5203
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",10886.8593,10.8869,0.08142924,10888.1723,0.612,0.0066,0.5774,0.0671,0.0125,0.112,inf,16.7559,0.612,0.1234,0.5774,5.5052,84.3361,9.1835,37.7351,13.0191
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",11791.5599,11.7916,0.07036734,11793.3283,0.6386,0.006,0.609,0.0656,0.0116,0.1077,inf,16.6132,0.6386,0.1126,0.609,5.3831,78.0149,8.8326,35.0408,12.7341
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",12342.9725,12.343,0.06351542,12346.028,0.6374,0.0059,0.6175,0.0649,0.0114,0.1065,inf,16.5044,0.6374,0.1102,0.6175,5.3216,76.3241,8.7364,33.9673,12.6044
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",12318.7604,12.3188,0.07620406,12321.0962,0.6425,0.0059,0.6151,0.0653,0.0114,0.1069,inf,16.5891,0.6425,0.1118,0.6151,5.3558,76.7984,8.7635,34.8244,12.7049
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",12519.8718,12.5199,0.12276816,12522.5469,0.5577,0.0076,0.5172,0.0711,0.0143,0.1197,inf,17.3954,0.5577,0.1352,0.5172,5.8319,96.3478,9.8157,39.7475,13.69
