model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"AEO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",21368.8922,21.3689,0.12836719,21369.848,0.5678,0.0075,0.5288,0.0696,0.014,0.1182,inf,17.0939,0.5678,0.1347,0.5288,5.7039,94.0216,9.6965,39.702,13.4483
"AEO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",22100.6763,22.1007,0.07323599,22101.3167,0.6018,0.0066,0.5745,0.0672,0.0126,0.1124,inf,16.8841,0.6018,0.1206,0.5745,5.5072,84.9048,9.2144,36.1601,13.0592
"AEO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",22277.7259,22.2777,0.06820512,22278.8931,0.578,0.0071,0.5434,0.0702,0.0136,0.1164,inf,17.3124,0.578,0.1253,0.5434,5.7574,91.1147,9.5454,36.2065,13.5025
"AEO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",23126.1086,23.1261,0.05274773,23127.353,0.6101,0.0067,0.5732,0.0679,0.0127,0.1125,inf,16.9197,0.6101,0.1228,0.5732,5.5639,85.17,9.2288,37.2378,13.1374
"AEO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",22988.2595,22.9883,0.05851197,22989.1862,0.6052,0.0068,0.5696,0.0683,0.0128,0.113,inf,17.009,0.6052,0.1258,0.5696,5.6039,85.8767,9.267,38.1753,13.258
"AEO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",7183.8118,7.1838,0.02615619,7184.2316,0.639,0.006,0.6107,0.0656,0.0116,0.1075,inf,16.5554,0.639,0.1131,0.6107,5.3801,77.6894,8.8142,35.5825,12.703
"AEO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",6258.2701,6.2583,0.01867533,6258.8034,0.5957,0.0068,0.5643,0.0684,0.0129,0.1137,inf,16.956,0.5957,0.1247,0.5643,5.6061,86.945,9.3244,37.4538,13.1949
"AEO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",7061.7778,7.0618,0.02808571,7062.4571,0.6022,0.0066,0.5774,0.0677,0.0125,0.112,inf,16.8735,0.6022,0.1207,0.5774,5.5504,84.3337,9.1833,37.0845,13.0463
"AEO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50",5440.9789,5.441,0.01700234,5441.6955,0.4852,0.009,0.437,0.076,0.0167,0.1293,inf,17.877,0.4852,0.1508,0.437,6.2349,112.3451,10.5993,42.2504,14.3313
