model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",12439.4649,12.4395,0.14177585,12440.0699,0.5312,0.0081,0.4904,0.0707,0.0151,0.123,inf,17.1714,0.5312,0.1448,0.4904,5.7997,101.6827,10.0838,45.5142,13.5056
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",12806.27,12.8063,0.0661037,12807.0681,0.3414,0.0113,0.2769,0.0794,0.0215,0.1465,inf,17.8524,0.3414,0.1745,0.2769,6.5132,144.2861,12.0119,51.5384,14.4786
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",10769.5805,10.7696,0.10990167,10770.5897,0.6627,0.0049,0.6543,0.0612,0.0103,0.1013,inf,17.2217,0.6627,0.1325,0.6543,5.022,68.9753,8.3051,25.5674,12.6355
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",12852.1439,12.8521,0.10984039,12853.369,0.5422,0.0077,0.5044,0.0714,0.0147,0.1213,inf,17.6959,0.5422,0.137,0.5044,5.8541,98.8846,9.9441,41.875,13.6756
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",12709.6334,12.7096,0.14717317,12711.0096,0.6133,0.0064,0.5862,0.0661,0.0123,0.1108,inf,16.4601,0.6133,0.1207,0.5862,5.4225,82.5613,9.0863,40.116,12.7071
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",12765.9168,12.7659,0.0753088,12767.4133,0.5746,0.0067,0.5547,0.0679,0.0132,0.115,inf,17.3772,0.5746,0.1123,0.5547,5.5668,88.861,9.4266,32.7348,13.0155
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",11009.0034,11.009,0.08394504,11011.2339,0.6494,0.0057,0.6288,0.0633,0.011,0.105,inf,16.1658,0.6494,0.108,0.6288,5.1919,74.0694,8.6064,34.954,12.2214
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",11112.9875,11.113,0.07149887,11115.8307,0.5039,0.0082,0.4659,0.0721,0.0158,0.1259,inf,17.7514,0.5039,0.1732,0.4659,5.9095,106.5702,10.3233,43.1759,13.953
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",11231.4921,11.2315,0.07801914,11234.2158,0.1002,0.0145,0.0141,0.0852,0.0293,0.171,inf,18.0571,0.1002,0.1967,0.0141,6.9874,196.7248,14.0259,56.5378,14.8151
"MVO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_8-ks_2-ps_2--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",12474.8478,12.4748,0.05426431,12476.9817,0.6134,0.0066,0.5807,0.0671,0.0124,0.1116,inf,16.6619,0.6134,0.1239,0.5807,5.4983,83.6767,9.1475,37.6038,12.9672
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,min,0.1002,0.108,0.0141,5.022,68.9753,8.3051,25.5674,12.2214
,,,,,,,,,,,,max,0.6627,0.1967,0.6543,6.9874,196.7248,14.0259,56.5378,14.8151
,,,,,,,,,,,,mean,0.51323,0.14236,0.47564,5.77654,104.62921,10.09609,40.96173,13.39746
,,,,,,,,,,,,std,0.171938756,0.029745147,0.193948906,0.595442639,38.70035399,1.7315102,9.02892294,0.839812273
,,,,,,,,,,,,cv,0.335013065,0.208943152,0.407764078,0.103079463,0.369880973,0.171503047,0.220423379,0.06268444
