model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"MLNN-1H-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",26.3384,0.0263,0.07458735,26.4894,0.4449,0.0103,0.4444,0.1021,0.0232,0.1522,56.0462,37.8551,0.4449,0.1665,0.4444,2.637,15.4471,3.9303,53.9197,37.3333
"MLNN-1H-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",42.275,0.0423,0.08576655,42.5158,0.452,0.0102,0.4516,0.1025,0.0229,0.1512,55.5147,37.791,0.452,0.1653,0.4516,2.6474,15.2474,3.9048,53.4355,37.2702
"MLNN-1H-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",40.7329,0.0407,0.16665959,40.9768,0.4937,0.0095,0.4918,0.0986,0.0212,0.1455,53.0853,36.8424,0.4937,0.1567,0.4918,2.5463,14.1277,3.7587,51.1245,36.3255
"MLNN-1H-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",40.4831,0.0405,0.10899949,40.6602,0.4645,0.01,0.4643,0.1012,0.0223,0.1494,55.8482,37.5863,0.4645,0.1641,0.4643,2.6131,14.8918,3.859,53.7284,37.0679
"MLNN-1H-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",44.978,0.045,0.12860322,45.2822,0.4478,0.0103,0.4478,0.1033,0.023,0.1517,57.998,38.2838,0.4478,0.17,0.4478,2.6679,15.3516,3.9181,55.766,37.7607
"MLNN-1H-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",46.0557,0.0461,0.09088302,46.2204,0.469,0.0098,0.4664,0.0994,0.0222,0.1491,52.4264,36.9535,0.469,0.1611,0.4664,2.5686,14.834,3.8515,50.542,36.4306
"MLNN-1H-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",44.206,0.0442,0.10116577,44.3928,0.4818,0.0096,0.4796,0.0986,0.0217,0.1473,52.3679,36.5549,0.4818,0.1568,0.4796,2.546,14.4668,3.8035,50.4703,36.0429
"MLNN-1H-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",43.0119,0.043,0.18392015,43.279,0.4466,0.0102,0.444,0.1007,0.0232,0.1522,54.578,37.2998,0.4466,0.164,0.444,2.6001,15.4571,3.9316,52.5116,36.7813
"MLNN-1H-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",43.9457,0.0439,0.11973071,44.1315,0.4618,0.0101,0.4616,0.1021,0.0224,0.1498,56.3784,38.0511,0.4618,0.1666,0.4616,2.6384,14.9684,3.8689,54.254,37.5258
"MLNN-1H-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",42.7682,0.0428,0.20656085,43.0846,0.468,0.0099,0.464,0.1008,0.0223,0.1495,52.6919,38.0212,0.468,0.1666,0.464,2.6032,14.9021,3.8603,50.849,37.4699
