model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",16974.9439,16.9749,0.14438868,16975.6613,0.2989,0.0132,0.2835,0.1112,0.0299,0.1728,57.2302,40.7455,0.2989,0.1975,0.2835,2.873,19.92,4.4632,55.1299,40.1998
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",16361.5891,16.3616,0.1598103,16362.7137,0.1676,0.0156,0.1484,0.1212,0.0355,0.1884,59.0293,43.3889,0.1676,0.2239,0.1484,3.1311,23.6745,4.8656,56.9348,42.819
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",16866.8097,16.8668,0.11302972,16868.0601,0.2978,0.0129,0.2947,0.1126,0.0294,0.1714,67.8936,41.6258,0.2978,0.2145,0.2947,2.9096,19.6085,4.4282,65.0392,41.0994
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",17058.9201,17.0589,0.12796426,17059.9745,0.3125,0.013,0.3117,0.1154,0.0287,0.1694,81.013,43.71,0.3125,0.2504,0.3117,2.9797,19.1348,4.3743,77.2935,43.1925
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",16848.9175,16.8489,0.16320372,16850.0646,0.3614,0.0119,0.3608,0.11,0.0266,0.1632,70.1412,40.8496,0.3614,0.2101,0.3608,2.8424,17.7709,4.2156,67.1298,40.3341
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",16461.2059,16.4612,0.07891679,16462.3897,0.2625,0.0143,0.243,0.1199,0.0315,0.1776,79.1944,45.156,0.2625,0.2582,0.243,3.0962,21.0462,4.5876,75.5946,44.6265
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",17036.4506,17.0365,0.13296795,17037.5839,0.3055,0.0126,0.3046,0.1099,0.029,0.1702,56.1511,39.696,0.3055,0.1847,0.3046,2.8392,19.334,4.397,54.2003,39.1467
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",17055.1134,17.0551,0.12175941,17056.4274,0.3078,0.0129,0.3078,0.1143,0.0288,0.1698,77.1147,42.7954,0.3078,0.2378,0.3078,2.9523,19.244,4.3868,73.6757,42.2779
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",16154.0255,16.154,0.139117,16155.2917,0.2805,0.0138,0.2443,0.1158,0.0315,0.1774,53.3782,41.6251,0.2805,0.1967,0.2443,2.9911,21.0087,4.5835,51.5026,41.0595
"SSDO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",16639.8209,16.6398,0.09437132,16640.7344,0.2983,0.0132,0.2983,0.1153,0.0292,0.171,79.7572,43.3962,0.2983,0.2477,0.2983,2.9785,19.508,4.4168,76.18,42.8798
