model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",168.0536,0.1681,0.35346556,168.4884,0.4313,0.0105,0.4285,0.1026,0.0238,0.1543,54.8963,38.1783,0.4313,0.1683,0.4285,2.6511,15.8895,3.9862,52.8551,37.6484
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",169.902,0.1699,0.17205334,170.1628,0.4279,0.0106,0.427,0.1031,0.0239,0.1545,56.6087,38.2543,0.4279,0.1708,0.427,2.664,15.9312,3.9914,54.4529,37.7292
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",174.0248,0.174,0.34824705,174.4915,0.4216,0.0107,0.421,0.1038,0.0241,0.1553,57.0487,38.3868,0.4216,0.1722,0.421,2.6801,16.0968,4.0121,54.8781,37.8615
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",161.0117,0.161,0.15240884,161.2383,0.4154,0.0108,0.4139,0.1037,0.0244,0.1563,56.1185,38.2832,0.4154,0.1705,0.4139,2.6795,16.2929,4.0364,53.9945,37.7582
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",166.3864,0.1664,0.29594564,166.8187,0.4199,0.0107,0.4196,0.1038,0.0242,0.1555,57.4946,38.3526,0.4199,0.1727,0.4196,2.6801,16.1343,4.0167,55.2952,37.8284
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",162.1223,0.1621,0.20924139,162.4244,0.4154,0.0108,0.415,0.1041,0.0244,0.1561,56.9751,38.3651,0.4154,0.1725,0.415,2.6883,16.2632,4.0328,54.8163,37.8401
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",165.2793,0.1653,0.23487306,165.5783,0.4298,0.0106,0.427,0.1028,0.0239,0.1545,54.9433,38.0919,0.4298,0.168,0.427,2.6558,15.9301,3.9913,52.888,37.5654
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",162.0801,0.1621,0.26695251,162.4142,0.4174,0.0107,0.4168,0.1038,0.0243,0.1559,56.7528,38.3032,0.4174,0.1719,0.4168,2.681,16.2134,4.0266,54.6027,37.7791
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",165.5133,0.1655,0.20513868,165.7896,0.4249,0.0106,0.4234,0.1034,0.024,0.155,55.9549,38.2477,0.4249,0.1702,0.4234,2.6706,16.0294,4.0037,53.8484,37.7206
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",163.3949,0.1634,0.17523932,163.6246,0.4282,0.0105,0.4275,0.1028,0.0239,0.1544,56.655,38.0457,0.4282,0.1709,0.4275,2.6543,15.9154,3.9894,54.4943,37.5229
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,min,0.4154,0.168,0.4139,2.6511,15.8895,3.9862,52.8551,37.5229
,,,,,,,,,,,,max,0.4313,0.1727,0.4285,2.6883,16.2929,4.0364,55.2952,37.8615
,,,,,,,,,,,,mean,0.42318,0.1708,0.42197,2.67048,16.06962,4.00866,54.21255,37.72538
,,,,,,,,,,,,std,0.00603615,0.001640461,0.005506168,0.013289745,0.152531496,0.019002468,0.819635713,0.114901192
,,,,,,,,,,,,cv,0.014263789,0.00960457,0.01304872,0.004976538,0.009491917,0.004740354,0.015118929,0.003045727
