model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",422.8251,0.4228,0.68778563,423.57,0.4248,0.0106,0.4248,0.1036,0.024,0.1548,57.9578,38.2531,0.4248,0.1714,0.4248,2.6753,15.9914,3.9989,55.697,37.7325
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",427.5821,0.4276,0.39755082,428.1071,0.4774,0.0097,0.4764,0.1002,0.0218,0.1477,54.8218,37.3983,0.4774,0.1621,0.4764,2.5871,14.5579,3.8155,52.7497,36.8786
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",415.4635,0.4155,0.45484662,415.9725,0.4648,0.01,0.4645,0.1015,0.0223,0.1494,56.3368,37.8278,0.4648,0.1659,0.4645,2.6214,14.8873,3.8584,54.169,37.3068
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",407.3182,0.4073,0.65178752,408.0245,0.4754,0.0097,0.4738,0.0998,0.0219,0.1481,53.5847,37.181,0.4754,0.1602,0.4738,2.5775,14.6277,3.8246,51.6076,36.6602
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",402.2515,0.4023,0.44475651,402.8252,0.4535,0.0102,0.4535,0.1024,0.0228,0.1509,57.8079,38.1225,0.4535,0.1696,0.4535,2.6446,15.1939,3.8979,55.5467,37.6022
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",332.0092,0.332,0.39080524,332.453,0.4848,0.0097,0.4846,0.1003,0.0215,0.1465,56.0933,37.635,0.4848,0.1641,0.4846,2.5915,14.3284,3.7853,53.9313,37.115
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",332.7352,0.3327,0.52664781,333.3393,0.4899,0.0096,0.4892,0.0997,0.0213,0.1459,55.0432,37.4099,0.4899,0.162,0.4892,2.5752,14.2001,3.7683,52.9552,36.8896
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",332.6703,0.3327,0.60720992,333.342,0.4855,0.0096,0.4845,0.0998,0.0215,0.1466,54.694,37.3721,0.4855,0.1617,0.4845,2.5782,14.3319,3.7858,52.6308,36.8517
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",343.8874,0.3439,0.39234805,344.3671,0.4785,0.0098,0.4775,0.1002,0.0218,0.1475,54.7527,37.423,0.4785,0.1622,0.4775,2.588,14.5249,3.8112,52.6873,36.9026
"LSTM-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",330.8626,0.3309,0.361974,331.2797,0.4894,0.0096,0.4884,0.0996,0.0213,0.146,54.7145,37.3532,0.4894,0.1613,0.4884,2.5734,14.2217,3.7712,52.6507,36.8327
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,min,0.4248,0.1602,0.4248,2.5734,14.2001,3.7683,51.6076,36.6602
,,,,,,,,,,,,max,0.4899,0.1714,0.4892,2.6753,15.9914,3.9989,55.697,37.7325
,,,,,,,,,,,,mean,0.4724,0.16405,0.47172,2.60122,14.68652,3.83171,53.46253,37.07719
,,,,,,,,,,,,std,0.02020055,0.003765118,0.019883595,0.034623492,0.553097353,0.071277119,1.342202414,0.357278054
,,,,,,,,,,,,cv,0.042761537,0.022951037,0.042151265,0.013310482,0.037660205,0.018601908,0.025105479,0.009636061
