model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"RNN-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",429.5656,0.4296,0.69031811,430.3107,0.4956,0.0096,0.4945,0.1,0.0211,0.1451,57.618,37.928,0.4956,0.167,0.4945,2.5832,14.052,3.7486,55.3226,37.4083
"RNN-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",441.4389,0.4414,0.59529281,442.1694,0.4719,0.0099,0.4716,0.1014,0.022,0.1484,58.9112,38.2318,0.4719,0.1712,0.4716,2.6183,14.6912,3.8329,56.5453,37.7126
"RNN-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",415.9337,0.4159,0.54607201,416.5703,0.4791,0.0097,0.478,0.1004,0.0218,0.1475,56.7046,37.7491,0.4791,0.1654,0.478,2.5922,14.513,3.8096,54.4821,37.2296
"RNN-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",419.5771,0.4196,0.44435287,420.1336,0.4836,0.0097,0.4826,0.1008,0.0216,0.1468,59.1932,38.2633,0.4836,0.1713,0.4826,2.6033,14.383,3.7925,56.7872,37.7444
"RNN-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",397.9805,0.398,0.61479068,398.6668,0.4796,0.0098,0.4786,0.1006,0.0217,0.1474,57.4579,37.9483,0.4796,0.1673,0.4786,2.5997,14.4963,3.8074,55.1829,37.4284
"RNN-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",342.8357,0.3428,0.60734177,343.5016,0.4521,0.0102,0.4518,0.1028,0.0228,0.1511,59.7094,38.5555,0.4521,0.1744,0.4518,2.6541,15.24,3.9038,57.2971,38.0356
"RNN-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",340.5387,0.3405,0.41187406,341.0001,0.4705,0.01,0.47,0.1018,0.0221,0.1486,59.5709,38.4496,0.4705,0.1733,0.47,2.6295,14.7332,3.8384,57.1562,37.9302
"RNN-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",340.7456,0.3407,0.55818534,341.385,0.478,0.0098,0.4773,0.1009,0.0218,0.1476,58.847,38.1596,0.478,0.1707,0.4773,2.6067,14.5308,3.8119,56.4829,37.6406
"RNN-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",340.6887,0.3407,0.53134871,341.2917,0.4726,0.0098,0.47,0.1,0.0221,0.1486,54.9145,37.4467,0.4726,0.1621,0.47,2.5829,14.7353,3.8387,52.8103,36.9269
"RNN-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",342.6971,0.3427,0.47327924,343.2179,0.4754,0.0098,0.4732,0.1003,0.0219,0.1482,56.0277,37.6777,0.4754,0.1649,0.4732,2.5914,14.6443,3.8268,53.8557,37.1574
