model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",16966.0455,16.966,0.15454602,16967.6108,0.2995,0.0126,0.2995,0.1105,0.0292,0.1708,60.6612,39.7417,0.2995,0.1896,0.2995,2.8539,19.4741,4.4129,58.3534,39.2135
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",16589.3703,16.5894,0.12037015,16590.6438,0.3145,0.0128,0.3134,0.1137,0.0286,0.1691,76.4394,42.646,0.3145,0.2352,0.3134,2.9381,19.0886,4.3691,72.9771,42.1307
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",16804.0627,16.8041,0.12158084,16805.2608,0.3121,0.0126,0.311,0.1117,0.0287,0.1694,66.7138,40.869,0.3121,0.2073,0.311,2.8856,19.156,4.3768,63.9072,40.349
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",16920.7017,16.9207,0.08999276,16921.3066,0.3327,0.0136,0.2805,0.1168,0.03,0.1731,71.8815,44.4063,0.3327,0.241,0.2805,3.0166,20.0027,4.4724,68.6269,43.8679
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",16930.432,16.9304,0.09722471,16931.6574,0.3788,0.0113,0.3759,0.1052,0.026,0.1613,57.7966,38.7452,0.3788,0.1791,0.3759,2.7166,17.3518,4.1655,55.54,38.2217
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",16316.8886,16.3169,0.11341524,16317.8351,0.2855,0.0135,0.2838,0.1172,0.0298,0.1728,83.152,44.21,0.2855,0.2596,0.2838,3.0278,19.9107,4.4621,79.2856,43.6956
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",16807.6638,16.8077,0.0951488,16808.9052,0.3131,0.0124,0.3131,0.11,0.0286,0.1692,59.6791,39.5266,0.3131,0.1864,0.3131,2.8419,19.0973,4.37,57.4164,38.9976
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",16846.9015,16.8469,0.13785267,16847.5261,0.2708,0.0131,0.2616,0.1119,0.0308,0.1754,57.4422,39.9716,0.2708,0.1882,0.2616,2.8905,20.5282,4.5308,55.2759,39.4367
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",16565.2841,16.5653,0.12427163,16566.2834,0.3458,0.0128,0.3374,0.1145,0.0276,0.1662,73.9084,43.927,0.3458,0.2396,0.3374,2.9584,18.4211,4.292,70.6637,43.3916
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",16355.0376,16.355,0.10310721,16356.2746,0.3523,0.0119,0.3453,0.1079,0.0273,0.1652,62.1111,40.674,0.3523,0.1994,0.3453,2.7881,18.2024,4.2664,59.5966,40.1341
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,min,0.2708,0.1791,0.2616,2.7166,17.3518,4.1655,55.2759,38.2217
,,,,,,,,,,,,max,0.3788,0.2596,0.3759,3.0278,20.5282,4.5308,79.2856,43.8679
,,,,,,,,,,,,mean,0.32051,0.21254,0.31215,2.89175,19.12329,4.3718,64.16428,40.94384
,,,,,,,,,,,,std,0.032483276,0.028656324,0.033870841,0.097789766,0.941184304,0.10817531,8.313904408,2.134255867
,,,,,,,,,,,,cv,0.101348713,0.134827909,0.108508221,0.033816812,0.049216652,0.024743884,0.129572161,0.052126422
