model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"GRU-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",520.5959,0.5206,0.45261908,521.1076,0.4951,0.0097,0.4935,0.1013,0.0211,0.1453,59.515,38.6012,0.4951,0.1738,0.4935,2.6171,14.0807,3.7524,57.1095,38.0789
"GRU-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",491.9782,0.492,0.7533164,492.8085,0.5011,0.0097,0.4999,0.1017,0.0208,0.1443,60.2027,38.8273,0.5011,0.1767,0.4999,2.6269,13.9019,3.7285,57.7587,38.3047
"GRU-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",507.8751,0.5079,0.6254003,508.6131,0.5015,0.0096,0.5008,0.101,0.0208,0.1442,60.062,38.5731,0.5015,0.1741,0.5008,2.6082,13.8783,3.7254,57.6183,38.0521
"GRU-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",503.3813,0.5034,0.48018551,503.9106,0.5052,0.0096,0.504,0.1007,0.0207,0.1438,59.1095,38.484,0.5052,0.1725,0.504,2.6017,13.7896,3.7134,56.724,37.9618
"GRU-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",406.4454,0.4064,0.66925406,407.1644,0.4974,0.0097,0.4965,0.1016,0.021,0.1449,60.8888,38.8291,0.4974,0.1775,0.4965,2.6242,13.9991,3.7415,58.3865,38.3084
"GRU-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",407.7708,0.4078,0.42476964,408.3048,0.499,0.0097,0.4984,0.1017,0.0209,0.1446,61.1038,38.8729,0.499,0.1779,0.4984,2.6262,13.9454,3.7344,58.5972,38.3518
"GRU-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",400.9101,0.4009,0.48889923,401.4723,0.4955,0.0097,0.4939,0.1012,0.0211,0.1452,59.842,38.6275,0.4955,0.1743,0.4939,2.613,14.0701,3.751,57.4018,38.1061
"GRU-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",398.7395,0.3987,0.49706054,399.2866,0.4933,0.0096,0.4911,0.1007,0.0212,0.1456,58.4616,38.3174,0.4933,0.1706,0.4911,2.6006,14.1476,3.7613,56.1095,37.7958
"GRU-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",346.0606,0.3461,0.51534724,346.6506,0.4901,0.0097,0.4885,0.1015,0.0213,0.146,59.9852,38.6776,0.4901,0.175,0.4885,2.6217,14.2202,3.771,57.5431,38.1561
"GRU-1HL-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)",285.8735,0.2859,0.51338673,286.4659,0.4925,0.0098,0.4913,0.1019,0.0212,0.1456,61.0963,38.9565,0.4925,0.1783,0.4913,2.6333,14.1433,3.7608,58.5844,38.4349
